dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
exponential_100_L2_p2_train,6008.51,6014.2,6026.81
exponential_100_L2_p2_test,5992.38,5999.806,6024.474
exponential_125_L2_p2_train,7572.59,7580.34,7583.84
exponential_125_L2_p2_test,7501.407,7506.176,7515.587
exponential_150_L2_p2_train,8905.01,8911.71,8919.15
exponential_150_L2_p2_test,9067.557,9078.547,9105.896
exponential_50_L2_p2_train,3036.58,3039.25,3039.56
exponential_50_L2_p2_test,3034.253,3033.813,3039.752
exponential_75_L2_p2_train,4487.88,4489.16,4508.48
exponential_75_L2_p2_test,4542.578,4546.807,4560.982
normal_std100_100_L2_p2_train,5964.83,5982.05,5981.32
normal_std100_100_L2_p2_test,6034.097,6024.092,6059.792
normal_std100_125_L2_p2_train,6485.51,6503.36,6501.25
normal_std100_125_L2_p2_test,6360.137,6366.735,6367.919
normal_std100_150_L2_p2_train,6634.69,6633.91,6601.62
normal_std100_150_L2_p2_test,6660.349,6669.566,6664.137
normal_std100_50_L2_p2_train,4973.11,4982.17,4988.32
normal_std100_50_L2_p2_test,5042.33,5056.637,5055.632
normal_std100_75_L2_p2_train,5676.71,5679.65,5698.49
normal_std100_75_L2_p2_test,5579.407,5589.982,5602.424
normal_std10_100_L2_p2_train,752.67,744.8,716.23
normal_std10_100_L2_p2_test,734.355,730.097,708.452
normal_std10_125_L2_p2_train,760.59,748.74,726.04
normal_std10_125_L2_p2_test,746.71,740.651,720.556
normal_std10_150_L2_p2_train,759.14,757.32,720.75
normal_std10_150_L2_p2_test,742.446,741.912,711.129
normal_std10_50_L2_p2_train,728.34,721.55,703.08
normal_std10_50_L2_p2_test,721.037,717.797,701.149
normal_std10_75_L2_p2_train,728.6,723.21,728.84
normal_std10_75_L2_p2_test,743.772,728.264,724.637
normal_std20_100_L2_p2_train,1417.35,1414.73,1397.15
normal_std20_100_L2_p2_test,1444.473,1441.044,1412.142
normal_std20_125_L2_p2_train,1432.02,1425.53,1401.2
normal_std20_125_L2_p2_test,1454.219,1446.333,1426.471
normal_std20_150_L2_p2_train,1561.94,1524.16,1463.62
normal_std20_150_L2_p2_test,1493.543,1463.394,1420.735
normal_std20_50_L2_p2_train,1466.44,1456.77,1455.72
normal_std20_50_L2_p2_test,1423.449,1414.854,1407.251
normal_std20_75_L2_p2_train,1453.31,1446.67,1444.64
normal_std20_75_L2_p2_test,1440.17,1430.659,1410.02
normal_std30_100_L2_p2_train,2151.17,2134.21,2105.61
normal_std30_100_L2_p2_test,2149.533,2135.142,2111.161
normal_std30_125_L2_p2_train,2138.39,2131.22,2094.04
normal_std30_125_L2_p2_test,2170.347,2165.948,2125.679
normal_std30_150_L2_p2_train,2211.82,2182.72,2156.44
normal_std30_150_L2_p2_test,2181.074,2151.776,2141.121
normal_std30_50_L2_p2_train,2078.5,2086.87,2078.35
normal_std30_50_L2_p2_test,2051.984,2065.602,2061.603
normal_std30_75_L2_p2_train,2127.25,2120.42,2099.75
normal_std30_75_L2_p2_test,2135.807,2132.425,2120.21
normal_std50_100_L2_p2_train,3505.03,3518.49,3496.11
normal_std50_100_L2_p2_test,3485.346,3494.67,3467.735
normal_std50_125_L2_p2_train,3564.92,3563.93,3542.3
normal_std50_125_L2_p2_test,3545.564,3543.934,3520.309
normal_std50_150_L2_p2_train,3613.22,3585.63,3552.4
normal_std50_150_L2_p2_test,3612.139,3564.916,3531.58
normal_std50_50_L2_p2_train,3037.64,3035.04,3042.12
normal_std50_50_L2_p2_test,3040.805,3040.043,3046.904
normal_std50_75_L2_p2_train,3424.98,3433.21,3411.65
normal_std50_75_L2_p2_test,3320.433,3333.865,3322.354
poisson_100_L2_p2_train,742.29,739.06,724.94
poisson_100_L2_p2_test,735.952,733.391,712.269
poisson_125_L2_p2_train,806.63,798.24,786.28
poisson_125_L2_p2_test,819.532,811.164,801.266
poisson_150_L2_p2_train,906.38,905.91,869.03
poisson_150_L2_p2_test,902.596,896.92,863.017
poisson_50_L2_p2_train,508.37,502.09,495.61
poisson_50_L2_p2_test,515.814,507.371,497.018
poisson_75_L2_p2_train,637.44,631.91,625.49
poisson_75_L2_p2_test,635.341,635.595,633.817
