dataset,exponential_L6_c1_2,poisson_L6_c1_2,normal_std10_L6_c1_2,normal_std30_L6_c1_2,normal_std50_L6_c1_2,capped_base_stock,basestock,constant
zinb_pi0p85_r5_p0p8_L6_c1_2_train,17.76,17.76,17.76,17.76,17.76,17.76,17.76,17.76
zinb_pi0p85_r5_p0p8_L6_c1_2_test,18.47,18.47,18.47,18.47,18.47,18.47,18.47,18.47
zinb_pi0p85_r5_p0p6_L6_c1_2_train,50.04,50.04,50.04,50.04,50.04,50.04,50.04,50.04
zinb_pi0p85_r5_p0p6_L6_c1_2_test,50.39,50.39,50.39,50.39,50.39,50.39,50.39,50.39
zinb_pi0p85_r5_p0p4_L6_c1_2_train,107.82,107.82,107.82,107.82,107.82,107.82,107.82,107.82
zinb_pi0p85_r5_p0p4_L6_c1_2_test,113.11,113.11,113.11,113.11,113.11,113.11,113.11,113.11
zinb_pi0p85_r5_p0p3_L6_c1_2_train,179.7,179.7,179.7,179.7,179.7,179.7,179.7,179.7
zinb_pi0p85_r5_p0p3_L6_c1_2_test,173.54,173.54,173.54,173.54,173.54,173.54,173.54,173.54
zinb_pi0p85_r5_p0p2_L6_c1_2_train,302.4,302.4,302.4,302.4,302.4,302.4,302.4,302.4
zinb_pi0p85_r5_p0p2_L6_c1_2_test,306.43,306.43,306.43,306.43,306.43,306.43,306.43,306.43
zinb_pi0p85_r5_p0p1_L6_c1_2_train,636.72,636.72,636.72,636.72,636.72,636.72,636.72,636.72
zinb_pi0p85_r5_p0p1_L6_c1_2_test,673.19,673.19,673.19,673.19,673.19,673.19,673.19,673.19
zinb_pi0p85_r40_p0p8_L6_c1_2_train,142.22,142.22,142.22,142.22,142.22,142.22,142.22,142.22
zinb_pi0p85_r40_p0p8_L6_c1_2_test,150.8,150.8,150.8,150.8,150.8,150.8,150.8,150.8
zinb_pi0p85_r40_p0p6_L6_c1_2_train,414.4,414.4,414.4,414.4,414.4,414.4,414.4,414.4
zinb_pi0p85_r40_p0p6_L6_c1_2_test,403.03,403.03,403.03,403.03,403.03,403.03,403.03,403.03
zinb_pi0p85_r40_p0p4_L6_c1_2_train,913.8,913.8,913.8,913.8,913.8,913.8,913.8,913.8
zinb_pi0p85_r40_p0p4_L6_c1_2_test,896.94,896.94,896.94,896.94,896.94,896.94,896.94,896.94
zinb_pi0p85_r40_p0p3_L6_c1_2_train,1424.8,1424.8,1424.8,1424.8,1424.8,1424.8,1424.8,1424.8
zinb_pi0p85_r40_p0p3_L6_c1_2_test,1426.52,1426.52,1426.52,1426.52,1426.52,1426.52,1426.52,1426.52
zinb_pi0p85_r40_p0p2_L6_c1_2_train,2516.72,2516.72,2516.72,2516.72,2516.72,2516.72,2516.72,2516.72
zinb_pi0p85_r40_p0p2_L6_c1_2_test,2418.13,2418.13,2418.13,2418.13,2418.13,2418.13,2418.13,2418.13
zinb_pi0p85_r40_p0p1_L6_c1_2_train,5640.06,5640.06,5640.06,5640.06,5640.06,5640.06,6988.02,5640.06
zinb_pi0p85_r40_p0p1_L6_c1_2_test,5516.27,5516.27,5516.27,5516.27,5516.27,5516.27,6761.12,5516.27
zinb_pi0p85_r20_p0p8_L6_c1_2_train,78.56,78.56,78.56,78.56,78.56,78.56,78.56,78.56
zinb_pi0p85_r20_p0p8_L6_c1_2_test,76,76,76,76,76,76,76,76
zinb_pi0p85_r20_p0p6_L6_c1_2_train,191.22,191.22,191.22,191.22,191.22,191.22,191.22,191.22
zinb_pi0p85_r20_p0p6_L6_c1_2_test,205.02,205.02,205.02,205.02,205.02,205.02,205.02,205.02
zinb_pi0p85_r20_p0p4_L6_c1_2_train,452.7,452.7,452.7,452.7,452.7,452.7,452.7,452.7
zinb_pi0p85_r20_p0p4_L6_c1_2_test,454.99,454.99,454.99,454.99,454.99,454.99,454.99,454.99
zinb_pi0p85_r20_p0p3_L6_c1_2_train,689.28,689.28,689.28,689.28,689.28,689.28,689.28,689.28
zinb_pi0p85_r20_p0p3_L6_c1_2_test,705.4,705.4,705.4,705.4,705.4,705.4,705.4,705.4
zinb_pi0p85_r20_p0p2_L6_c1_2_train,1226.24,1226.24,1226.24,1226.24,1226.24,1226.24,1226.24,1226.24
zinb_pi0p85_r20_p0p2_L6_c1_2_test,1203.58,1203.58,1203.58,1203.58,1203.58,1203.58,1203.58,1203.58
zinb_pi0p85_r20_p0p1_L6_c1_2_train,2647.32,2647.32,2647.32,2647.32,2647.32,2647.32,2647.32,2647.32
zinb_pi0p85_r20_p0p1_L6_c1_2_test,2697.37,2697.37,2697.37,2697.37,2697.37,2697.37,2697.37,2697.37
zinb_pi0p85_r2_p0p8_L6_c1_2_train,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74
zinb_pi0p85_r2_p0p8_L6_c1_2_test,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45
zinb_pi0p85_r2_p0p6_L6_c1_2_train,18.64,18.64,18.64,18.64,18.64,18.64,18.64,18.64
zinb_pi0p85_r2_p0p6_L6_c1_2_test,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35
zinb_pi0p85_r2_p0p4_L6_c1_2_train,48.78,48.78,48.78,48.78,48.78,48.78,48.78,48.78
zinb_pi0p85_r2_p0p4_L6_c1_2_test,44.65,44.65,44.65,44.65,44.65,44.65,44.65,44.65
zinb_pi0p85_r2_p0p3_L6_c1_2_train,71.34,71.34,71.34,71.34,71.34,71.34,71.34,71.34
zinb_pi0p85_r2_p0p3_L6_c1_2_test,68.91,68.91,68.91,68.91,68.91,68.91,68.91,68.91
zinb_pi0p85_r2_p0p2_L6_c1_2_train,117.28,117.28,117.28,117.28,117.28,117.28,117.28,117.28
zinb_pi0p85_r2_p0p2_L6_c1_2_test,115.43,115.43,115.43,115.43,115.43,115.43,115.43,115.43
zinb_pi0p85_r2_p0p1_L6_c1_2_train,273.34,273.34,273.34,273.34,273.34,273.34,273.34,273.34
zinb_pi0p85_r2_p0p1_L6_c1_2_test,275.45,275.45,275.45,275.45,275.45,275.45,275.45,275.45
zinb_pi0p85_r10_p0p8_L6_c1_2_train,36.26,36.26,36.26,36.26,36.26,36.26,36.26,36.26
zinb_pi0p85_r10_p0p8_L6_c1_2_test,37.68,37.68,37.68,37.68,37.68,37.68,37.68,37.68
zinb_pi0p85_r10_p0p6_L6_c1_2_train,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34
zinb_pi0p85_r10_p0p6_L6_c1_2_test,99.34,99.34,99.34,99.34,99.34,99.34,99.34,99.34
zinb_pi0p85_r10_p0p4_L6_c1_2_train,236.62,236.62,236.62,236.62,236.62,236.62,236.62,236.62
zinb_pi0p85_r10_p0p4_L6_c1_2_test,222.66,222.66,222.66,222.66,222.66,222.66,222.66,222.66
zinb_pi0p85_r10_p0p3_L6_c1_2_train,342.1,342.1,342.1,342.1,342.1,342.1,342.1,342.1
zinb_pi0p85_r10_p0p3_L6_c1_2_test,351.77,351.77,351.77,351.77,351.77,351.77,351.77,351.77
zinb_pi0p85_r10_p0p2_L6_c1_2_train,618.66,618.66,618.66,618.66,618.66,618.66,618.66,618.66
zinb_pi0p85_r10_p0p2_L6_c1_2_test,606.7,606.7,606.7,606.7,606.7,606.7,606.7,606.7
zinb_pi0p85_r10_p0p1_L6_c1_2_train,1422.06,1422.06,1422.06,1422.06,1422.06,1422.06,1422.06,1422.06
zinb_pi0p85_r10_p0p1_L6_c1_2_test,1342.51,1342.51,1342.51,1342.51,1342.51,1342.51,1342.51,1342.51
zinb_pi0p7_r5_p0p8_L6_c1_2_train,37,37,37,37,37,37,37,37
zinb_pi0p7_r5_p0p8_L6_c1_2_test,37.09,37.09,37.09,37.09,37.09,37.09,37.09,37.09
zinb_pi0p7_r5_p0p6_L6_c1_2_train,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74
zinb_pi0p7_r5_p0p6_L6_c1_2_test,99.61,99.61,99.61,99.61,99.61,99.61,99.61,99.61
zinb_pi0p7_r5_p0p4_L6_c1_2_train,228.18,228.18,228.18,228.18,228.18,228.18,228.18,228.18
zinb_pi0p7_r5_p0p4_L6_c1_2_test,226,226,226,226,226,226,226,226
