dataset,basestock,constant,capped_base_stock,exponential_L2_c1_2,normal_std30_L2_c1_2,poisson_L2_c1_2
beta_a0p5_b0p5_M100_L2_c1_2_test.json,2865.843,2767.309,2631.013,2637.404413,2659.575785,2621.279497
beta_a0p5_b0p5_M100_L2_c1_2_train.json,2893.18,2761.26,2645.5,2649.079702,2656.675264,2641.402782
beta_a0p5_b0p5_M20_L2_c1_2_test.json,572.683,556.143,531.446,531.4702276,529.8031719,525.3425388
beta_a0p5_b0p5_M20_L2_c1_2_train.json,584.84,554.9,539.97,535.2687916,533.8814354,532.146151
beta_a0p5_b0p5_M200_L2_c1_2_test.json,5702.693,5522.442,5239.811,5249.73692,5238.786795,5237.990249
beta_a0p5_b0p5_M200_L2_c1_2_train.json,5726.92,5537.92,5229.91,5228.445853,5214.896537,5226.548021
beta_a0p5_b0p5_M50_L2_c1_2_test.json,1425.407,1377.574,1311.806,1315.581525,1307.711065,1309.459543
beta_a0p5_b0p5_M50_L2_c1_2_train.json,1425.46,1406.87,1317.14,1321.205483,1311.164684,1313.568952
beta_a0p5_b0p5_M500_L2_c1_2_test.json,14222.194,13605.504,13021.738,13115.62001,13029.4433,13073.579
beta_a0p5_b0p5_M500_L2_c1_2_train.json,14239.08,13577.32,13093.94,13114.34747,13009.83376,13036.67049
beta_a0p5_b1_M100_L2_c1_2_test.json,2252.094,2171.87,2111.638,2109.34249,2104.73618,2104.002543
beta_a0p5_b1_M100_L2_c1_2_train.json,2259.43,2251.01,2143.81,2142.494271,2138.136135,2141.838375
beta_a0p5_b1_M20_L2_c1_2_test.json,449.775,431.952,421.603,421.6511054,420.0118799,421.23797
beta_a0p5_b1_M20_L2_c1_2_train.json,450.13,427.61,416.11,415.5977873,414.1815993,414.4480913
beta_a0p5_b1_M200_L2_c1_2_test.json,4483.261,4298.334,4205.081,4201.819298,4226.534271,4185.86346
beta_a0p5_b1_M200_L2_c1_2_train.json,4552.46,4333.55,4208.47,4204.763933,4209.939734,4196.810063
beta_a0p5_b1_M50_L2_c1_2_test.json,1127.084,1081.358,1065.276,1060.767179,1062.510374,1051.038788
beta_a0p5_b1_M50_L2_c1_2_train.json,1122.31,1063.47,1050.37,1042.762687,1043.906617,1037.301381
beta_a0p5_b1_M500_L2_c1_2_test.json,11172.954,10753.484,10513.004,10497.94526,10468.66197,10473.92125
beta_a0p5_b1_M500_L2_c1_2_train.json,11299.76,10856.69,10542.42,10510.61786,10488.1987,10492.02306
beta_a0p5_b10_M100_L2_c1_2_test.json,372.786,360.543,366.667,361.3918948,358.5089977,356.5498572
beta_a0p5_b10_M100_L2_c1_2_train.json,362.33,350.84,357.74,349.8561063,349.0082466,347.7945448
beta_a0p5_b10_M20_L2_c1_2_test.json,79.492,91.006,80.953,78.26908296,78.12718638,78.25792261
beta_a0p5_b10_M20_L2_c1_2_train.json,78.38,90.48,79.92,76.46473381,76.23244358,76.33588103
beta_a0p5_b10_M200_L2_c1_2_test.json,755.579,733.475,725.696,728.4888195,724.2049055,723.7616569
beta_a0p5_b10_M200_L2_c1_2_train.json,752.69,726.03,720.05,722.1254559,718.4316121,719.8010149
beta_a0p5_b10_M50_L2_c1_2_test.json,190.139,183.458,190.139,182.4677696,182.434269,182.6016195
beta_a0p5_b10_M50_L2_c1_2_train.json,187.98,182.35,187.98,180.2863211,180.3142491,180.3092411
beta_a0p5_b10_M500_L2_c1_2_test.json,1857.486,1803.067,1793.026,1788.96277,1779.130881,1780.447213
beta_a0p5_b10_M500_L2_c1_2_train.json,1948.49,1871.52,1870.38,1859.040514,1859.091502,1859.087047
beta_a0p5_b2_M100_L2_c1_2_test.json,1472.382,1420.162,1409.276,1401.338969,1402.60428,1395.758666
beta_a0p5_b2_M100_L2_c1_2_train.json,1499.87,1433.61,1420.77,1410.947178,1411.048063,1407.377548
beta_a0p5_b2_M20_L2_c1_2_test.json,296.696,285.403,290.783,282.026052,281.4319503,281.3269689
beta_a0p5_b2_M20_L2_c1_2_train.json,301.07,290.36,294.88,286.6631485,285.8197736,285.6511831
beta_a0p5_b2_M200_L2_c1_2_test.json,2942.675,2830.032,2798.416,2795.728448,2795.889619,2790.44395
beta_a0p5_b2_M200_L2_c1_2_train.json,2963.19,2815.14,2798.73,2786.814735,2793.258211,2781.93407
beta_a0p5_b2_M50_L2_c1_2_test.json,744.518,717.494,711.052,706.0525027,712.6013567,705.1998026
beta_a0p5_b2_M50_L2_c1_2_train.json,741.4,726.26,714.1,702.451667,703.0871,700.931031
beta_a0p5_b2_M500_L2_c1_2_test.json,7365.652,7077.517,6987.93,7054.226821,6970.917346,6974.224866
beta_a0p5_b2_M500_L2_c1_2_train.json,7316.02,6930,6923.43,6912.425809,6882.42195,6879.341864
beta_a0p5_b5_M100_L2_c1_2_test.json,708.399,683.519,679.28,679.2709269,677.586733,678.417667
beta_a0p5_b5_M100_L2_c1_2_train.json,690.59,664.55,664.94,660.4671103,660.4429729,660.4715669
beta_a0p5_b5_M20_L2_c1_2_test.json,143.66,146.173,146.717,137.8409908,137.8649965,137.68571
beta_a0p5_b5_M20_L2_c1_2_train.json,143.92,146.04,147.03,137.4522382,137.4993335,137.2573948
beta_a0p5_b5_M200_L2_c1_2_test.json,1401.921,1358.203,1344.104,1341.591226,1344.326476,1339.857547
beta_a0p5_b5_M200_L2_c1_2_train.json,1417.44,1368.64,1355.88,1352.549671,1355.401197,1351.038821
beta_a0p5_b5_M50_L2_c1_2_test.json,354.368,341.412,348.295,341.9907797,338.3354853,338.6070534
beta_a0p5_b5_M50_L2_c1_2_train.json,353.04,338.39,346.77,338.7180771,335.1784384,335.3528013
beta_a0p5_b5_M500_L2_c1_2_test.json,3502.54,3392.304,3357.323,3354.489048,3360.371361,3345.821886
beta_a0p5_b5_M500_L2_c1_2_train.json,3473.13,3413.58,3330.44,3322.638586,3330.485698,3320.758355
beta_a1_b0p5_M100_L2_c1_2_test.json,2511.585,2429.375,2233.822,2230.632979,2228.528846,2236.073492
beta_a1_b0p5_M100_L2_c1_2_train.json,2509.68,2374.99,2210.98,2213.638967,2213.797128,2212.906437
beta_a1_b0p5_M20_L2_c1_2_test.json,508.186,501.673,460.257,453.5262902,462.3798304,455.3647085
beta_a1_b0p5_M20_L2_c1_2_train.json,504.57,482.16,455.39,449.0793422,454.3633996,448.1066705
beta_a1_b0p5_M200_L2_c1_2_test.json,5063.073,4883.939,4493.461,4534.535206,4496.43986,4508.265273
beta_a1_b0p5_M200_L2_c1_2_train.json,5040.59,4863.86,4447.91,4485.854374,4455.908617,4468.414435
beta_a1_b0p5_M50_L2_c1_2_test.json,1252.34,1209.938,1114.277,1111.498205,1111.277637,1114.547756
