dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2,capped_base_stock,basestock,constant
zinb_pi0p85_r5_p0p8_L6_c1_2_train,17.76000676,17.76000717,17.76,17.76,17.76,17.76
zinb_pi0p85_r5_p0p8_L6_c1_2_test,18.4720065,18.47200689,18.472,18.47,18.47,18.47
zinb_pi0p85_r5_p0p6_L6_c1_2_train,50.04000422,50.04000447,50.04,50.04,50.04,50.04
zinb_pi0p85_r5_p0p6_L6_c1_2_test,50.39200414,50.39200438,50.392,50.39,50.39,50.39
zinb_pi0p85_r5_p0p4_L6_c1_2_train,107.8200037,107.8200039,107.82,107.82,107.82,107.82
zinb_pi0p85_r5_p0p4_L6_c1_2_test,113.1100036,113.1100038,113.11,113.11,113.11,113.11
zinb_pi0p85_r5_p0p3_L6_c1_2_train,179.7000033,179.7000035,179.7,179.7,179.7,179.7
zinb_pi0p85_r5_p0p3_L6_c1_2_test,173.5420037,173.5420039,173.542,173.54,173.54,173.54
zinb_pi0p85_r5_p0p2_L6_c1_2_train,302.4000035,302.4000037,302.4,302.4,302.4,302.4
zinb_pi0p85_r5_p0p2_L6_c1_2_test,306.4340034,306.4340036,306.434,306.43,306.43,306.43
zinb_pi0p85_r5_p0p1_L6_c1_2_train,636.7200038,636.720004,636.72,636.72,636.72,636.72
zinb_pi0p85_r5_p0p1_L6_c1_2_test,673.1940037,673.1940039,673.194,673.19,673.19,673.19
zinb_pi0p85_r40_p0p8_L6_c1_2_train,142.2200039,142.2200041,142.22,142.22,142.22,142.22
zinb_pi0p85_r40_p0p8_L6_c1_2_test,150.8020036,150.8020038,150.802,150.8,150.8,150.8
zinb_pi0p85_r40_p0p6_L6_c1_2_train,414.4000033,414.4000034,414.4,414.4,414.4,414.4
zinb_pi0p85_r40_p0p6_L6_c1_2_test,403.0300036,403.0300038,403.03,403.03,403.03,403.03
zinb_pi0p85_r40_p0p4_L6_c1_2_train,913.8000032,913.8000034,913.8,913.8,913.8,913.8
zinb_pi0p85_r40_p0p4_L6_c1_2_test,896.9360037,896.9360039,896.936,896.94,896.94,896.94
zinb_pi0p85_r40_p0p3_L6_c1_2_train,1424.800003,1424.800004,1424.8,1424.8,1424.8,1424.8
zinb_pi0p85_r40_p0p3_L6_c1_2_test,1426.522003,1426.522004,1426.522,1426.52,1426.52,1426.52
zinb_pi0p85_r40_p0p2_L6_c1_2_train,2516.720004,2516.720004,2516.72,2516.72,2516.72,2516.72
