dataset,exponential_L6_c1_2,normal_std10_L6_c1_2,poisson_L6_c1_2
beta_a0p5_b0p5_M100_L6_c1_2_train,7810.48,2778.1850035081966,15843.86
beta_a0p5_b0p5_M100_L6_c1_2_test,7697.069,2777.642726779221,15799.984
beta_a0p5_b0p5_M200_L6_c1_2_train,5830.73,5451.730884319867,5978.77
beta_a0p5_b0p5_M200_L6_c1_2_test,5729.435,5491.083987465206,6190.627
beta_a0p5_b0p5_M20_L6_c1_2_train,38715.58,723.2500025128033,28953.92
beta_a0p5_b0p5_M20_L6_c1_2_test,38832.002,697.802009423013,29018.214
beta_a0p5_b0p5_M500_L6_c1_2_train,19643.32,13538.829084570796,17250.69
beta_a0p5_b0p5_M500_L6_c1_2_test,19844.545,13600.799164070568,17473.299
beta_a0p5_b0p5_M50_L6_c1_2_train,26945.82,1390.55,24216.7
beta_a0p5_b0p5_M50_L6_c1_2_test,26622.205,1369.1988438686685,24085.579
beta_a0p5_b10_M100_L6_c1_2_train,43359.5,387.36000000245554,30824.65
beta_a0p5_b10_M100_L6_c1_2_test,43171.777,403.54700000525594,30767.662
beta_a0p5_b10_M200_L6_c1_2_train,39295.87,813.5800000023867,29202.19
beta_a0p5_b10_M200_L6_c1_2_test,39189.075,818.1320000079819,29161.383
beta_a0p5_b10_M20_L6_c1_2_train,46289.56,82.61000001371269,32018.93
beta_a0p5_b10_M20_L6_c1_2_test,46270.199,83.79900001143587,32014.951
beta_a0p5_b10_M500_L6_c1_2_train,27497.96,2098.2900000017557,24270.09
beta_a0p5_b10_M500_L6_c1_2_test,27833.93,2017.0050000072476,24458.904
beta_a0p5_b10_M50_L6_c1_2_train,45090.15,201.3300000224508,31546.63
beta_a0p5_b10_M50_L6_c1_2_test,45081.414,204.9520000128718,31538.107
beta_a0p5_b1_M100_L6_c1_2_train,19671.95,2227.168714397578,21197.6
beta_a0p5_b1_M100_L6_c1_2_test,19794.005,2165.2334028206765,21296.87
beta_a0p5_b1_M200_L6_c1_2_train,5284.1,4309.2550117035125,10355.36
beta_a0p5_b1_M200_L6_c1_2_test,5417.006,4295.016300007584,10692.249
beta_a0p5_b1_M20_L6_c1_2_train,41576.53,509.1400000001116,30128.1
beta_a0p5_b1_M20_L6_c1_2_test,41563.734,516.8629999988506,30117.44
beta_a0p5_b1_M500_L6_c1_2_train,12364.09,10840.990008834224,11168.45
beta_a0p5_b1_M500_L6_c1_2_test,12217.149,10744.343973055578,11086.946
beta_a0p5_b1_M50_L6_c1_2_train,33295.41,1275.5000000022094,26774.73
beta_a0p5_b1_M50_L6_c1_2_test,33364.894,1284.7250000100755,26806.903
beta_a0p5_b2_M100_L6_c1_2_train,30694.48,1657.7699999999995,25701.33
beta_a0p5_b2_M100_L6_c1_2_test,30745.04,1629.9217118148913,25734.852
beta_a0p5_b2_M200_L6_c1_2_train,15004.08,2810.910065113161,18886.31
beta_a0p5_b2_M200_L6_c1_2_test,15156.715,2828.5988950894716,18967.788
beta_a0p5_b2_M20_L6_c1_2_train,43695.14,335.2500000018344,30981.04
beta_a0p5_b2_M20_L6_c1_2_test,43770.509,328.7240000000475,31008.697
beta_a0p5_b2_M500_L6_c1_2_train,6958.0,6928.2912306435765,8866.54
beta_a0p5_b2_M500_L6_c1_2_test,7089.183,7075.147192201872,8813.229
beta_a0p5_b2_M50_L6_c1_2_train,38728.7,836.7100000033383,28942.71
beta_a0p5_b2_M50_L6_c1_2_test,38822.493,822.0309999346858,29005.463
beta_a0p5_b5_M100_L6_c1_2_train,39855.54,742.2300000051313,29411.73
beta_a0p5_b5_M100_L6_c1_2_test,39517.916,772.6440000289923,29299.184
beta_a0p5_b5_M200_L6_c1_2_train,32028.38,1534.7800000038399,26268.48
beta_a0p5_b5_M200_L6_c1_2_test,32245.56,1524.793000007722,26336.65
beta_a0p5_b5_M20_L6_c1_2_train,45558.21,157.81009761516611,31720.34
beta_a0p5_b5_M20_L6_c1_2_test,45552.668,155.90200000000002,31724.561
beta_a0p5_b5_M500_L6_c1_2_train,12908.47,3405.264287228432,17212.84
beta_a0p5_b5_M500_L6_c1_2_test,12888.771,3415.896868245633,17200.069
beta_a0p5_b5_M50_L6_c1_2_train,43361.92,378.7200000001914,30839.4
beta_a0p5_b5_M50_L6_c1_2_test,43331.507,383.1510000003458,30828.179
