policy_id,dataset_id,split,avg_cost,ci_lower,ci_upper,tune_status,tune_train_avg,tuned_params,error
exponential_L6_c1_2,beta_a0p5_b0p5_M100_L6_c1_2,train,7810.48,7095.293,8468.7555,ok,7810.48,"{""base_stock"": 449.0551589336057, ""demand_buffer"": 1.2480577517614566, ""lost_sales_weight"": 2.3268591725381484, ""min_order_threshold"": 20.0, ""pipeline_weight"": 0.8346281654923688, ""safety_stock"": 118.25160201043154, ""smoothing_factor"": 0.05}",
exponential_L6_c1_2,beta_a0p5_b0p5_M100_L6_c1_2,test,7697.069,7487.214625,7910.3929,ok,7810.48,"{""base_stock"": 449.0551589336057, ""demand_buffer"": 1.2480577517614566, ""lost_sales_weight"": 2.3268591725381484, ""min_order_threshold"": 20.0, ""pipeline_weight"": 0.8346281654923688, ""safety_stock"": 118.25160201043154, ""smoothing_factor"": 0.05}",
normal_std10_L6_c1_2,beta_a0p5_b0p5_M100_L6_c1_2,train,2778.1850035081966,2718.0249721437935,2830.9658369622152,ok,2778.1850035081957,"{""base_stock"": 664.9760660333361, ""demand_estimate"": 47.24258750183057, ""max_order"": 36.24998830600997, ""safety_stock"": 40.787041585369316}",
normal_std10_L6_c1_2,beta_a0p5_b0p5_M100_L6_c1_2,test,2777.642726779221,2754.7875704601634,2802.3122241249653,ok,2778.1850035081957,"{""base_stock"": 664.9760660333361, ""demand_estimate"": 47.24258750183057, ""max_order"": 36.24998830600997, ""safety_stock"": 40.787041585369316}",
poisson_L6_c1_2,beta_a0p5_b0p5_M100_L6_c1_2,train,15843.86,15450.80125,16244.609999999999,ok,15843.86,"{""base_stock"": 663.9895492381544, ""demand_estimate"": 126.02654356755875, ""max_order"": 95.92075836356183, ""safety_stock"": 58.76116633627653}",
poisson_L6_c1_2,beta_a0p5_b0p5_M100_L6_c1_2,test,15799.984,15685.307825,15904.7531,ok,15843.86,"{""base_stock"": 663.9895492381544, ""demand_estimate"": 126.02654356755875, ""max_order"": 95.92075836356183, ""safety_stock"": 58.76116633627653}",
exponential_L6_c1_2,beta_a0p5_b0p5_M200_L6_c1_2,train,5830.73,5696.923,5950.284,ok,5830.73,"{""base_stock"": 449.0551589336057, ""demand_buffer"": 1.2480577517614566, ""lost_sales_weight"": 2.3268591725381484, ""min_order_threshold"": 20.0, ""pipeline_weight"": 0.8346281654923688, ""safety_stock"": 118.25160201043154, ""smoothing_factor"": 0.05}",
exponential_L6_c1_2,beta_a0p5_b0p5_M200_L6_c1_2,test,5729.435,5687.535925,5766.8610499999995,ok,5830.73,"{""base_stock"": 449.0551589336057, ""demand_buffer"": 1.2480577517614566, ""lost_sales_weight"": 2.3268591725381484, ""min_order_threshold"": 20.0, ""pipeline_weight"": 0.8346281654923688, ""safety_stock"": 118.25160201043154, ""smoothing_factor"": 0.05}",
normal_std10_L6_c1_2,beta_a0p5_b0p5_M200_L6_c1_2,train,5451.730884319867,5283.350393507066,5593.154899185495,ok,5451.730884319869,"{""base_stock"": 664.9760660333361, ""demand_estimate"": 112.57877315547451, ""max_order"": 72.52210799666928, ""safety_stock"": 66.84914946723164}",
normal_std10_L6_c1_2,beta_a0p5_b0p5_M200_L6_c1_2,test,5491.083987465206,5443.200339262577,5534.916560718433,ok,5451.730884319869,"{""base_stock"": 664.9760660333361, ""demand_estimate"": 112.57877315547451, ""max_order"": 72.52210799666928, ""safety_stock"": 66.84914946723164}",
poisson_L6_c1_2,beta_a0p5_b0p5_M200_L6_c1_2,train,5978.77,5777.876,6217.7865,ok,5978.77,"{""base_stock"": 663.9895492381544, ""demand_estimate"": 126.02654356755875, ""max_order"": 95.92075836356183, ""safety_stock"": 58.76116633627653}",
poisson_L6_c1_2,beta_a0p5_b0p5_M200_L6_c1_2,test,6190.627,6115.886825,6259.10345,ok,5978.77,"{""base_stock"": 663.9895492381544, ""demand_estimate"": 126.02654356755875, ""max_order"": 95.92075836356183, ""safety_stock"": 58.76116633627653}",
exponential_L6_c1_2,beta_a0p5_b0p5_M20_L6_c1_2,train,38715.58,38550.032,38889.265999999996,ok,38715.58,"{""base_stock"": 449.0551589336057, ""demand_buffer"": 1.2480577517614566, ""lost_sales_weight"": 2.3268591725381484, ""min_order_threshold"": 20.0, ""pipeline_weight"": 0.8346281654923688, ""safety_stock"": 118.25160201043154, ""smoothing_factor"": 0.05}",
exponential_L6_c1_2,beta_a0p5_b0p5_M20_L6_c1_2,test,38832.002,38783.1661,38893.844175000006,ok,38715.58,"{""base_stock"": 449.0551589336057, ""demand_buffer"": 1.2480577517614566, ""lost_sales_weight"": 2.3268591725381484, ""min_order_threshold"": 20.0, ""pipeline_weight"": 0.8346281654923688, ""safety_stock"": 118.25160201043154, ""smoothing_factor"": 0.05}",
normal_std10_L6_c1_2,beta_a0p5_b0p5_M20_L6_c1_2,train,723.2500025128033,707.638981342434,737.6305116531262,ok,723.2500000555393,"{""base_stock"": 664.9760660333361, ""demand_estimate"": 3.3336528719004535, ""max_order"": 68.0903980458832, ""safety_stock"": 27.331610000323174}",
normal_std10_L6_c1_2,beta_a0p5_b0p5_M20_L6_c1_2,test,697.802009423013,692.4505664494397,702.0309020252015,ok,723.2500000555393,"{""base_stock"": 664.9760660333361, ""demand_estimate"": 3.3336528719004535, ""max_order"": 68.0903980458832, ""safety_stock"": 27.331610000323174}",
poisson_L6_c1_2,beta_a0p5_b0p5_M20_L6_c1_2,train,28953.92,28886.172250000003,29020.55325,ok,28953.92,"{""base_stock"": 663.9895492381544, ""demand_estimate"": 126.02654356755875, ""max_order"": 95.92075836356183, ""safety_stock"": 58.76116633627653}",
poisson_L6_c1_2,beta_a0p5_b0p5_M20_L6_c1_2,test,29018.214,28997.70995,29039.119125,ok,28953.92,"{""base_stock"": 663.9895492381544, ""demand_estimate"": 126.02654356755875, ""max_order"": 95.92075836356183, ""safety_stock"": 58.76116633627653}",
exponential_L6_c1_2,beta_a0p5_b0p5_M500_L6_c1_2,train,19643.32,19197.29925,20027.319,ok,19643.32,"{""base_stock"": 449.0551589336057, ""demand_buffer"": 1.2480577517614566, ""lost_sales_weight"": 2.3268591725381484, ""min_order_threshold"": 20.0, ""pipeline_weight"": 0.8346281654923688, ""safety_stock"": 118.25160201043154, ""smoothing_factor"": 0.05}",
exponential_L6_c1_2,beta_a0p5_b0p5_M500_L6_c1_2,test,19844.545,19711.63665,19992.02265,ok,19643.32,"{""base_stock"": 449.0551589336057, ""demand_buffer"": 1.2480577517614566, ""lost_sales_weight"": 2.3268591725381484, ""min_order_threshold"": 20.0, ""pipeline_weight"": 0.8346281654923688, ""safety_stock"": 118.25160201043154, ""smoothing_factor"": 0.05}",
normal_std10_L6_c1_2,beta_a0p5_b0p5_M500_L6_c1_2,train,13538.829084570796,13214.00997319459,13908.877811487477,ok,13538.829084570792,"{""base_stock"": 664.9760660333361, ""demand_estimate"": 280.7240840575402, ""max_order"": 170.90530703664353, ""safety_stock"": 100.4711226325915}",
normal_std10_L6_c1_2,beta_a0p5_b0p5_M500_L6_c1_2,test,13600.799164070568,13494.256770070835,13700.335382384528,ok,13538.829084570792,"{""base_stock"": 664.9760660333361, ""demand_estimate"": 280.7240840575402, ""max_order"": 170.90530703664353, ""safety_stock"": 100.4711226325915}",
poisson_L6_c1_2,beta_a0p5_b0p5_M500_L6_c1_2,train,17250.69,16829.3955,17581.187,ok,17250.69,"{""base_stock"": 663.9895492381544, ""demand_estimate"": 126.02654356755875, ""max_order"": 95.92075836356183, ""safety_stock"": 58.76116633627653}",
poisson_L6_c1_2,beta_a0p5_b0p5_M500_L6_c1_2,test,17473.299,17360.963175,17596.485075,ok,17250.69,"{""base_stock"": 663.9895492381544, ""demand_estimate"": 126.02654356755875, ""max_order"": 95.92075836356183, ""safety_stock"": 58.76116633627653}",
exponential_L6_c1_2,beta_a0p5_b0p5_M50_L6_c1_2,train,26945.82,26534.7215,27337.04075,ok,26945.82,"{""base_stock"": 449.0551589336057, ""demand_buffer"": 1.2480577517614566, ""lost_sales_weight"": 2.3268591725381484, ""min_order_threshold"": 20.0, ""pipeline_weight"": 0.8346281654923688, ""safety_stock"": 118.25160201043154, ""smoothing_factor"": 0.05}",
exponential_L6_c1_2,beta_a0p5_b0p5_M50_L6_c1_2,test,26622.205,26504.220624999998,26768.910375,ok,26945.82,"{""base_stock"": 449.0551589336057, ""demand_buffer"": 1.2480577517614566, ""lost_sales_weight"": 2.3268591725381484, ""min_order_threshold"": 20.0, ""pipeline_weight"": 0.8346281654923688, ""safety_stock"": 118.25160201043154, ""smoothing_factor"": 0.05}",
