policy_id,dataset_id,split,avg_cost,ci_lower,ci_upper,tune_status,tune_train_avg,tuned_params,error
exponential_L6_c1_2,exponential_100_L8_p6,train,12281.32,11611.47675,12859.26825,ok_expanded,12281.32,"{""base_stock"": 0.40839557212179767, ""safety_stock"": 0.09264740755255679, ""pipeline_weight"": 1.2599210498948732, ""smoothing_factor"": 0.023593492572127908, ""lost_sales_weight"": 4.688026757993129, ""demand_buffer"": 2121.4369364270224, ""min_order_threshold"": 29.090625686837907}",
exponential_L6_c1_2,exponential_100_L8_p6,test,12527.346,12350.06225,12711.49385,ok_expanded,12281.32,"{""base_stock"": 0.40839557212179767, ""safety_stock"": 0.09264740755255679, ""pipeline_weight"": 1.2599210498948732, ""smoothing_factor"": 0.023593492572127908, ""lost_sales_weight"": 4.688026757993129, ""demand_buffer"": 2121.4369364270224, ""min_order_threshold"": 29.090625686837907}",
normal_std30_L6_c1_2,exponential_100_L8_p6,train,12293.02,11628.3575,12872.9615,ok_expanded,12293.02,"{""base_stock"": 395.4811768043496, ""safety_stock"": 377.20289861669517, ""pipeline_weight"": 0.8468771742456864, ""demand_forecast"": 96.81712404824022, ""smoothing_factor"": 0.02449428339588588, ""forecast_weight"": 0.6859323430132308, ""adjustment_factor"": 0.5137517192271766, ""pipeline_discount"": 0.9365488640189035, ""min_order"": 16.39563252555406}",
normal_std30_L6_c1_2,exponential_100_L8_p6,test,12578.789,12405.602224999999,12763.5201,ok_expanded,12293.02,"{""base_stock"": 395.4811768043496, ""safety_stock"": 377.20289861669517, ""pipeline_weight"": 0.8468771742456864, ""demand_forecast"": 96.81712404824022, ""smoothing_factor"": 0.02449428339588588, ""forecast_weight"": 0.6859323430132308, ""adjustment_factor"": 0.5137517192271766, ""pipeline_discount"": 0.9365488640189035, ""min_order"": 16.39563252555406}",
poisson_L6_c1_2,exponential_100_L8_p6,train,12321.74,11642.34,12923.119,ok_expanded,12321.74,"{""safety_stock"": 73.43567817629588, ""demand_estimate"": 131.73397233704696, ""max_order"": 77.67177136477356}",
poisson_L6_c1_2,exponential_100_L8_p6,test,12557.407,12395.55855,12743.888024999998,ok_expanded,12321.74,"{""safety_stock"": 73.43567817629588, ""demand_estimate"": 131.73397233704696, ""max_order"": 77.67177136477356}",
exponential_L6_c1_2,exponential_125_L8_p6,train,15677.05,15016.17075,16368.4115,ok_expanded,15677.05,"{""base_stock"": 331.25417057090266, ""safety_stock"": 41.08678454940988, ""pipeline_weight"": 0.17793965450668275, ""smoothing_factor"": 0.03826688532929423, ""lost_sales_weight"": 1.672985427002789, ""demand_buffer"": 4.9970212898696165, ""min_order_threshold"": 11.213617718521679}",
exponential_L6_c1_2,exponential_125_L8_p6,test,15691.12,15465.314425,15931.317375,ok_expanded,15677.05,"{""base_stock"": 331.25417057090266, ""safety_stock"": 41.08678454940988, ""pipeline_weight"": 0.17793965450668275, ""smoothing_factor"": 0.03826688532929423, ""lost_sales_weight"": 1.672985427002789, ""demand_buffer"": 4.9970212898696165, ""min_order_threshold"": 11.213617718521679}",
normal_std30_L6_c1_2,exponential_125_L8_p6,train,15673.85,15024.16375,16357.38625,ok_expanded,15673.85,"{""base_stock"": 1070.0904495851867, ""safety_stock"": 109.14208973408726, ""pipeline_weight"": 0.5669312389912362, ""demand_forecast"": 139.7715865830159, ""smoothing_factor"": 0.049248895218919835, ""forecast_weight"": 0.33760852017321225, ""adjustment_factor"": 0.25640265586395034, ""pipeline_discount"": 1.0, ""min_order"": 4.8810683561082575}",
normal_std30_L6_c1_2,exponential_125_L8_p6,test,15689.103,15470.2904,15931.665675,ok_expanded,15673.85,"{""base_stock"": 1070.0904495851867, ""safety_stock"": 109.14208973408726, ""pipeline_weight"": 0.5669312389912362, ""demand_forecast"": 139.7715865830159, ""smoothing_factor"": 0.049248895218919835, ""forecast_weight"": 0.33760852017321225, ""adjustment_factor"": 0.25640265586395034, ""pipeline_discount"": 1.0, ""min_order"": 4.8810683561082575}",
poisson_L6_c1_2,exponential_125_L8_p6,train,15679.02,15027.175749999999,16351.164999999999,ok_expanded,15679.02,"{""safety_stock"": 6.379047795778255, ""demand_estimate"": 165.8284680605702, ""max_order"": 99.93953716967589}",
poisson_L6_c1_2,exponential_125_L8_p6,test,15721.35,15494.285324999999,15951.65995,ok_expanded,15679.02,"{""safety_stock"": 6.379047795778255, ""demand_estimate"": 165.8284680605702, ""max_order"": 99.93953716967589}",
exponential_L6_c1_2,exponential_150_L8_p6,train,18549.62,17638.8425,19208.53675,ok_expanded,18549.62,"{""base_stock"": 460.05559108890503, ""safety_stock"": 1599.9132321594498, ""pipeline_weight"": 0.6778076071428495, ""smoothing_factor"": 0.07521326374262795, ""lost_sales_weight"": 3.0966452316925905, ""demand_buffer"": 0.4656478899228872, ""min_order_threshold"": 0.00031179474139638943}",
exponential_L6_c1_2,exponential_150_L8_p6,test,19201.784,18979.8528,19500.525175,ok_expanded,18549.62,"{""base_stock"": 460.05559108890503, ""safety_stock"": 1599.9132321594498, ""pipeline_weight"": 0.6778076071428495, ""smoothing_factor"": 0.07521326374262795, ""lost_sales_weight"": 3.0966452316925905, ""demand_buffer"": 0.4656478899228872, ""min_order_threshold"": 0.00031179474139638943}",
normal_std30_L6_c1_2,exponential_150_L8_p6,train,18526.06,17602.573,19210.71775,ok_expanded,18526.06,"{""base_stock"": 1488.0752752105573, ""safety_stock"": 0.10846112729475862, ""pipeline_weight"": 1.0, ""demand_forecast"": 108.33598047619637, ""smoothing_factor"": 0.07123263049509883, ""forecast_weight"": 0.6087312938362047, ""adjustment_factor"": 0.8295866594223626, ""pipeline_discount"": 0.777135046620683, ""min_order"": 9.958797561465273e-07}",
normal_std30_L6_c1_2,exponential_150_L8_p6,test,19186.195,18955.66775,19489.482625,ok_expanded,18526.06,"{""base_stock"": 1488.0752752105573, ""safety_stock"": 0.10846112729475862, ""pipeline_weight"": 1.0, ""demand_forecast"": 108.33598047619637, ""smoothing_factor"": 0.07123263049509883, ""forecast_weight"": 0.6087312938362047, ""adjustment_factor"": 0.8295866594223626, ""pipeline_discount"": 0.777135046620683, ""min_order"": 9.958797561465273e-07}",
poisson_L6_c1_2,exponential_150_L8_p6,train,18639.5,17788.6115,19354.454749999997,ok_expanded,18639.5,"{""safety_stock"": 325.4826375594406, ""demand_estimate"": 137.40653325775565, ""max_order"": 121.24628107189223}",
poisson_L6_c1_2,exponential_150_L8_p6,test,19321.006,19057.60975,19601.539425,ok_expanded,18639.5,"{""safety_stock"": 325.4826375594406, ""demand_estimate"": 137.40653325775565, ""max_order"": 121.24628107189223}",
exponential_L6_c1_2,exponential_50_L8_p6,train,6477.33,6195.0405,6842.416499999998,ok_expanded,6477.33,"{""base_stock"": 48.626437526305736, ""safety_stock"": 2698.418830016376, ""pipeline_weight"": 4.37674619326111, ""smoothing_factor"": 0.023666020248602284, ""lost_sales_weight"": 1.7224600686578533, ""demand_buffer"": 1.2177413193392916e-06, ""min_order_threshold"": 0.00843295033571918}",
exponential_L6_c1_2,exponential_50_L8_p6,test,6395.69,6305.507625,6484.829325,ok_expanded,6477.33,"{""base_stock"": 48.626437526305736, ""safety_stock"": 2698.418830016376, ""pipeline_weight"": 4.37674619326111, ""smoothing_factor"": 0.023666020248602284, ""lost_sales_weight"": 1.7224600686578533, ""demand_buffer"": 1.2177413193392916e-06, ""min_order_threshold"": 0.00843295033571918}",
normal_std30_L6_c1_2,exponential_50_L8_p6,train,6404.62,6141.77925,6758.640749999999,ok_expanded,6404.62,"{""base_stock"": 777.7197662863504, ""safety_stock"": 6.967981053221289, ""pipeline_weight"": 0.7986465098839618, ""demand_forecast"": 0.3336886211785215, ""smoothing_factor"": 0.06310132185659682, ""forecast_weight"": 0.06666666666666667, ""adjustment_factor"": 0.0, ""pipeline_discount"": 0.6229075205071318, ""min_order"": 4.922849377649086}",
normal_std30_L6_c1_2,exponential_50_L8_p6,test,6336.475,6251.841925,6426.960325,ok_expanded,6404.62,"{""base_stock"": 777.7197662863504, ""safety_stock"": 6.967981053221289, ""pipeline_weight"": 0.7986465098839618, ""demand_forecast"": 0.3336886211785215, ""smoothing_factor"": 0.06310132185659682, ""forecast_weight"": 0.06666666666666667, ""adjustment_factor"": 0.0, ""pipeline_discount"": 0.6229075205071318, ""min_order"": 4.922849377649086}",
poisson_L6_c1_2,exponential_50_L8_p6,train,6431.42,6167.81775,6751.52325,ok_expanded,6431.42,"{""safety_stock"": 5.248420980536901, ""demand_estimate"": 63.951190131509364, ""max_order"": 40.25186372526465}",
poisson_L6_c1_2,exponential_50_L8_p6,test,6356.331,6280.7938,6440.6249,ok_expanded,6431.42,"{""safety_stock"": 5.248420980536901, ""demand_estimate"": 63.951190131509364, ""max_order"": 40.25186372526465}",
exponential_L6_c1_2,exponential_75_L8_p6,train,9541.09,9021.59475,9989.704749999999,ok_expanded,9541.09,"{""base_stock"": 1.2191075158288045, ""safety_stock"": 1.7356927116772416e-05, ""pipeline_weight"": 0.38631401119640224, ""smoothing_factor"": 0.10288500599403157, ""lost_sales_weight"": 1.0509035324184504, ""demand_buffer"": 603.9393295347212, ""min_order_threshold"": 1.0469570465852291}",
exponential_L6_c1_2,exponential_75_L8_p6,test,9596.504,9441.824274999999,9749.105775,ok_expanded,9541.09,"{""base_stock"": 1.2191075158288045, ""safety_stock"": 1.7356927116772416e-05, ""pipeline_weight"": 0.38631401119640224, ""smoothing_factor"": 0.10288500599403157, ""lost_sales_weight"": 1.0509035324184504, ""demand_buffer"": 603.9393295347212, ""min_order_threshold"": 1.0469570465852291}",
normal_std30_L6_c1_2,exponential_75_L8_p6,train,9510.93,9008.203,9950.145,ok_expanded,9510.93,"{""base_stock"": 1026.1446139807317, ""safety_stock"": 7.671929751139143e-05, ""pipeline_weight"": 0.949419572041635, ""demand_forecast"": 27.106765894611822, ""smoothing_factor"": 0.08121018175346732, ""forecast_weight"": 0.27629131134060536, ""adjustment_factor"": 2.2806208320600865e-141, ""pipeline_discount"": 0.978456572433252, ""min_order"": 9.428793066368668e-06}",
normal_std30_L6_c1_2,exponential_75_L8_p6,test,9535.911,9381.482275,9688.153175,ok_expanded,9510.93,"{""base_stock"": 1026.1446139807317, ""safety_stock"": 7.671929751139143e-05, ""pipeline_weight"": 0.949419572041635, ""demand_forecast"": 27.106765894611822, ""smoothing_factor"": 0.08121018175346732, ""forecast_weight"": 0.27629131134060536, ""adjustment_factor"": 2.2806208320600865e-141, ""pipeline_discount"": 0.978456572433252, ""min_order"": 9.428793066368668e-06}",
poisson_L6_c1_2,exponential_75_L8_p6,train,9620.54,9132.90525,10035.748999999998,ok_expanded,9620.54,"{""safety_stock"": 0.7317309748187028, ""demand_estimate"": 93.3497694639284, ""max_order"": 60.36371059118236}",
poisson_L6_c1_2,exponential_75_L8_p6,test,9563.685,9417.2641,9717.617225,ok_expanded,9620.54,"{""safety_stock"": 0.7317309748187028, ""demand_estimate"": 93.3497694639284, ""max_order"": 60.36371059118236}",
