dataset,opt_basestock,total_cost_all_basestock,opt_const_q,total_cost_all_const,opt_capped_S,opt_capped_cap,total_cost_all_capped,,
normal_std10_L2_c1_2_train.json,296,1027.18,95,744.57,298,100,1415.72,707.86,2
normal_std10_L2_c1_2_test.json,296,1037.009,95,766.036,298,100,14290.76,714.538,20
normal_std10_L2_c1_5_train.json,309,1412.23,97,1317.78,310,105,2170.58,1085.29,2
normal_std10_L2_c1_5_test.json,309,1405.797,97,1306.965,310,105,21655.78,1082.789,20
normal_std10_L4_c1_2_train.json,483,1747.71,95,769.64,500,95,1523.54,761.77,2
normal_std10_L4_c1_2_test.json,482,1750.241,96,758.901,501,95,15106.12,755.306,20
normal_std10_L4_c1_5_train.json,501,2223.64,97,1313.9,507,100,2364.8,1182.4,2
normal_std10_L4_c1_5_test.json,503,2228.758,97,1306.061,510,100,23594.66,1179.733,20
normal_std10_L6_c1_2_train.json,663,2788.38,95,776.07,688,95,1515.92,757.96,2
normal_std10_L6_c1_2_test.json,664,2789.743,95,761.693,694,95,15157.36,757.868,20
normal_std10_L6_c1_5_train.json,693,3359.16,97,1282.99,705,100,2499.12,1249.56,2
normal_std10_L6_c1_5_test.json,695,3353.92,97,1308.91,705,100,24887.86,1244.393,20
normal_std30_L2_c1_2_train.json,285,2490.35,86,2269.84,299,95,4257.92,2128.96,2
normal_std30_L2_c1_2_test.json,288,2491.5,87,2257.165,304,95,42061.38,2103.069,20
normal_std30_L2_c1_5_train.json,324,3637.16,91,4034.49,335,105,6431.44,3215.72,2
normal_std30_L2_c1_5_test.json,327,3601.551,92,3858.072,336,105,64115,3205.75,20
normal_std30_L4_c1_2_train.json,443,3234.61,86,2232.24,502,90,4364.32,2182.16,2
normal_std30_L4_c1_2_test.json,449,3250.964,87,2269.171,491,90,44133.28,2206.664,20
normal_std30_L4_c1_5_train.json,509,4716.46,92,3897.65,530,100,7108.72,3554.36,2
normal_std30_L4_c1_5_test.json,509,4698.272,92,3907.125,530,100,71307.5,3565.375,20
normal_std30_L6_c1_2_train.json,595,4196.7,87,2249.11,682,90,4446.1,2223.05,2
normal_std30_L6_c1_2_test.json,594,4159.873,87,2253.95,672,90,44989.52,2249.476,20
normal_std30_L6_c1_5_train.json,690,5942.81,92,3926.96,744,95,7445.56,3722.78,2
normal_std30_L6_c1_5_test.json,685,5889.556,92,3931.415,732,95,74404.26,3720.213,20
normal_std50_L2_c1_2_train.json,285,3899.34,79,3675.4,310,90,6830.14,3415.07,2
normal_std50_L2_c1_2_test.json,280,3915.672,78,3691.97,308,90,69316.82,3465.841,20
normal_std50_L2_c1_5_train.json,346,5684.62,87,6521.7,362,110,10310.28,5155.14,2
normal_std50_L2_c1_5_test.json,345,5748.05,88,6314.008,358,110,105583.46,5279.173,20
normal_std50_L4_c1_2_train.json,408,4672.22,77,3849.11,486,80,7481.78,3740.89,2
normal_std50_L4_c1_2_test.json,412,4689.055,78,3719.635,491,80,72987.64,3649.382,20
normal_std50_L4_c1_5_train.json,523,7157.89,90,6390.91,564,100,11819.3,5909.65,2
normal_std50_L4_c1_5_test.json,513,7039.302,87,6302.978,550,100,116037.34,5801.867,20
normal_std50_L6_c1_2_train.json,532,5512.02,78,3725.13,680,80,7349.98,3674.99,2
normal_std50_L6_c1_2_test.json,528,5446.683,78,3724.573,662,80,73474.8,3673.74,20
normal_std50_L6_c1_5_train.json,680,8514.65,86,6635.75,728,95,12637.18,6318.59,2
