dataset,opt_basestock,opt_cost_50
normal_std10_L2_c1_2_train,296,988.4423076923077
normal_std10_L2_c1_2_test,297,1017.8173076923077
normal_std10_L2_c1_5_train,309,1356.0576923076922
normal_std10_L2_c1_5_test,309,1342.2788461538462
normal_std10_L4_c1_2_train,482,1611.6111111111109
normal_std10_L4_c1_2_test,481,1599.1388888888891
normal_std10_L4_c1_5_train,504,2049.0740740740744
normal_std10_L4_c1_5_test,503,2031.8703703703711
normal_std10_L6_c1_2_train,668,2459.7678571428573
normal_std10_L6_c1_2_test,663,2489.4464285714284
normal_std10_L6_c1_5_train,696,3006.6071428571436
normal_std10_L6_c1_5_test,696,2982.1249999999995
normal_std30_L2_c1_2_train,287,2458.5192307692305
normal_std30_L2_c1_2_test,287,2412.6057692307686
normal_std30_L2_c1_5_train,326,3504.5769230769215
normal_std30_L2_c1_5_test,329,3502.6153846153834
normal_std30_L4_c1_2_train,448,2938.685185185186
normal_std30_L4_c1_2_test,443,3013.592592592592
normal_std30_L4_c1_5_train,513,4315.9629629629635
normal_std30_L4_c1_5_test,507,4284.740740740742
normal_std30_L6_c1_2_train,594,3667.732142857143
normal_std30_L6_c1_2_test,598,3783.955357142856
normal_std30_L6_c1_5_train,689,5233.553571428572
normal_std30_L6_c1_5_test,692,5167.169642857144
poisson_L2_c1_2_train,296,979.8846153846155
poisson_L2_c1_2_test,295,996.3269230769224
poisson_L2_c1_5_train,308,1364.788461538462
poisson_L2_c1_5_test,309,1351.0673076923078
poisson_L4_c1_2_train,481,1613.1666666666672
poisson_L4_c1_2_test,482,1605.7407407407404
poisson_L4_c1_5_train,500,2055.907407407407
poisson_L4_c1_5_test,502,2047.898148148148
poisson_L6_c1_2_train,665,2486.874999999999
poisson_L6_c1_2_test,667,2481.94642857143
poisson_L6_c1_5_train,697,2983.178571428571
poisson_L6_c1_5_test,694,3022.3214285714275
exponential_L2_c1_2_train,207,5887.26923076923
exponential_L2_c1_2_test,208,6153.875000000001
exponential_L2_c1_5_train,329,10736.884615384617
exponential_L2_c1_5_test,337,10301.91346153846
exponential_L4_c1_2_train,290,6345.314814814815
exponential_L4_c1_2_test,291,6507.000000000002
exponential_L4_c1_5_train,459,11454.074074074071
exponential_L4_c1_5_test,461,11282.092592592593
exponential_L6_c1_2_train,399,6579.3035714285725
exponential_L6_c1_2_test,383,6447.000000000001
exponential_L6_c1_5_train,590,12376.446428571424
exponential_L6_c1_5_test,586,12027.312500000002
pareto_L2_c1_2_train,258,2820.903846153846
pareto_L2_c1_2_test,255,2576.038461538462
pareto_L2_c1_5_train,298,4960.499999999998
pareto_L2_c1_5_test,299,4549.278846153846
pareto_L4_c1_2_train,409,2988.6666666666665
pareto_L4_c1_2_test,408,3080.9166666666674
pareto_L4_c1_5_train,474,5090.12962962963
pareto_L4_c1_5_test,467,5258.648148148149
pareto_L6_c1_2_train,557,3667.249999999999
pareto_L6_c1_2_test,556,3609.1517857142867
pareto_L6_c1_5_train,629,5880.982142857142
pareto_L6_c1_5_test,634,5860.455357142856
lomax_L2_c1_2_train,165,6859.903846153843
lomax_L2_c1_2_test,163,6830.932692307691
lomax_L2_c1_5_train,293,14171.884615384615
lomax_L2_c1_5_test,281,13535.019230769229
lomax_L4_c1_2_train,220,7407.574074074076
lomax_L4_c1_2_test,220,6806.268518518522
lomax_L4_c1_5_train,384,14063.444444444445
lomax_L4_c1_5_test,401,14318.305555555555
lomax_L6_c1_2_train,406,7692.0
lomax_L6_c1_2_test,398,7591.785714285715
lomax_L6_c1_5_train,478,14052.53571428571
lomax_L6_c1_5_test,478,13862.874999999996
