file,LB_emp_mean,LB_par_mean
exponential_L2_c1_2_test.json,3831.28,3972.872917
exponential_L2_c1_2_train.json,3840.83,3977.852995
exponential_L2_c1_5_test.json,5849.378,6175.255177
exponential_L2_c1_5_train.json,5704.46,5990.888694
exponential_L4_c1_2_test.json,3855.364,3987.530683
exponential_L4_c1_2_train.json,3840.17,3967.216347
exponential_L4_c1_5_test.json,5907.91,6239.305056
exponential_L4_c1_5_train.json,5876.35,6222.149626
exponential_L6_c1_2_test.json,3817.886,3956.822323
exponential_L6_c1_2_train.json,3870.88,4005.409462
exponential_L6_c1_5_test.json,5828.795,6135.755225
exponential_L6_c1_5_train.json,5941.49,6289.429626
normal_std10_L2_c1_2_test.json,371.697,384.1930644
normal_std10_L2_c1_2_train.json,378.79,391.5812406
normal_std10_L2_c1_5_test.json,508.547,530.9999015
normal_std10_L2_c1_5_train.json,511.17,530.6384121
normal_std10_L4_c1_2_test.json,374.272,386.975048
normal_std10_L4_c1_2_train.json,370.11,385.5935041
normal_std10_L4_c1_5_test.json,503.538,526.7148754
normal_std10_L4_c1_5_train.json,513.78,540.3816784
normal_std10_L6_c1_2_test.json,373.354,385.5206466
normal_std10_L6_c1_2_train.json,370.14,384.0467248
normal_std10_L6_c1_5_test.json,504.499,528.728392
normal_std10_L6_c1_5_train.json,513.71,533.3037186
normal_std30_L2_c1_2_test.json,1113.527,1150.80561
normal_std30_L2_c1_2_train.json,1106.11,1142.601458
normal_std30_L2_c1_5_test.json,1493.853,1568.248179
normal_std30_L2_c1_5_train.json,1531.61,1606.233608
normal_std30_L4_c1_2_test.json,1115.486,1153.709387
normal_std30_L4_c1_2_train.json,1094.29,1134.401306
normal_std30_L4_c1_5_test.json,1521.725,1595.625016
normal_std30_L4_c1_5_train.json,1546.54,1611.583407
normal_std30_L6_c1_2_test.json,1111.871,1150.818556
normal_std30_L6_c1_2_train.json,1116.76,1155.808705
normal_std30_L6_c1_5_test.json,1511.388,1583.737708
normal_std30_L6_c1_5_train.json,1521.23,1585.503196
normal_std50_L2_c1_2_test.json,1840.245,1905.916986
normal_std50_L2_c1_2_train.json,1797.59,1847.680229
normal_std50_L2_c1_5_test.json,2517.299,2635.412955
normal_std50_L2_c1_5_train.json,2411.15,2559.612211
normal_std50_L4_c1_2_test.json,1853.804,1917.998463
normal_std50_L4_c1_2_train.json,1828.29,1905.951991
normal_std50_L4_c1_5_test.json,2506.916,2630.656719
normal_std50_L4_c1_5_train.json,2568.04,2698.157086
normal_std50_L6_c1_2_test.json,1840.288,1906.379407
normal_std50_L6_c1_2_train.json,1840.46,1904.417464
normal_std50_L6_c1_5_test.json,2502.013,2620.123894
normal_std50_L6_c1_5_train.json,2548.88,2699.258995
poisson_L2_c1_2_test.json,375.529,388.548
poisson_L2_c1_2_train.json,372.79,385.24
poisson_L2_c1_5_test.json,511.692,535.182
poisson_L2_c1_5_train.json,516.46,547
poisson_L4_c1_2_test.json,373.329,385.463
poisson_L4_c1_2_train.json,378.75,391.59
poisson_L4_c1_5_test.json,510.512,533.381
poisson_L4_c1_5_train.json,513.79,534.29
poisson_L6_c1_2_test.json,375.465,388.352
poisson_L6_c1_2_train.json,381.15,395.34
poisson_L6_c1_5_test.json,511.907,536.081
poisson_L6_c1_5_train.json,508.8,531.85
