dataset,opt_basestock,opt_cost_50
normal_std50_L2_c1_2_train,274,3926.2692307692314
normal_std50_L2_c1_2_test,285,3766.3846153846166
normal_std50_L2_c1_5_train,346,5518.2307692307695
normal_std50_L2_c1_5_test,342,5481.634615384616
normal_std50_L4_c1_2_train,440,4294.24074074074
normal_std50_L4_c1_2_test,415,4310.6759259259225
normal_std50_L4_c1_5_train,519,6399.537037037037
normal_std50_L4_c1_5_test,516,6414.212962962963
normal_std50_L6_c1_2_train,529,4931.875
normal_std50_L6_c1_2_test,530,4861.491071428572
normal_std50_L6_c1_5_train,681,7286.749999999998
normal_std50_L6_c1_5_test,683,7439.357142857142
