dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a0p5_b0p5_M100_L4_p6_train.json,beta_a0p5_b0p5_M100_L6_c1_2_train.json,4,1,6.0,100,50,49.9692,273,5411.42,41,5330.43
beta_a0p5_b0p5_M100_L4_p6_test.json,beta_a0p5_b0p5_M100_L6_c1_2_test.json,4,1,6.0,1000,50,50.13458,273,5366.794,41,5286.546
beta_a0p5_b0p5_M200_L4_p6_train.json,beta_a0p5_b0p5_M200_L6_c1_2_train.json,4,1,6.0,100,50,101.882,564,10577.76,85,10518.44
beta_a0p5_b0p5_M200_L4_p6_test.json,beta_a0p5_b0p5_M200_L6_c1_2_test.json,4,1,6.0,1000,50,100.02054,564,10715.711,85,10444.961
beta_a0p5_b0p5_M20_L4_p6_train.json,beta_a0p5_b0p5_M20_L6_c1_2_train.json,4,1,6.0,100,50,10.2508,57,1091.58,9,1028.77
beta_a0p5_b0p5_M20_L4_p6_test.json,beta_a0p5_b0p5_M20_L6_c1_2_test.json,4,1,6.0,1000,50,10.0193,57,1082.265,9,1109.134
beta_a0p5_b0p5_M500_L4_p6_train.json,beta_a0p5_b0p5_M500_L6_c1_2_train.json,4,1,6.0,100,50,247.6496,1362,26796.3,202,26071.59
beta_a0p5_b0p5_M500_L4_p6_test.json,beta_a0p5_b0p5_M500_L6_c1_2_test.json,4,1,6.0,1000,50,249.54696,1362,26510.748,202,25823.356
beta_a0p5_b0p5_M50_L4_p6_train.json,beta_a0p5_b0p5_M50_L6_c1_2_train.json,4,1,6.0,100,50,24.6224,134,2686.28,21,2667.15
beta_a0p5_b0p5_M50_L4_p6_test.json,beta_a0p5_b0p5_M50_L6_c1_2_test.json,4,1,6.0,1000,50,24.9965,134,2672.039,21,2586.57
beta_a0p5_b10_M100_L4_p6_train.json,beta_a0p5_b10_M100_L6_c1_2_train.json,4,1,6.0,100,50,4.5358,22,787.96,3,762.68
beta_a0p5_b10_M100_L4_p6_test.json,beta_a0p5_b10_M100_L6_c1_2_test.json,4,1,6.0,1000,50,4.69986,22,805.8,3,781.889
beta_a0p5_b10_M200_L4_p6_train.json,beta_a0p5_b10_M200_L6_c1_2_train.json,4,1,6.0,100,50,9.5332,45,1629.52,7,1568.74
beta_a0p5_b10_M200_L4_p6_test.json,beta_a0p5_b10_M200_L6_c1_2_test.json,4,1,6.0,1000,50,9.58786,45,1651.809,7,1605.632
beta_a0p5_b10_M20_L4_p6_train.json,beta_a0p5_b10_M20_L6_c1_2_train.json,4,1,6.0,100,50,0.9048,4,165.17,0,271.44
beta_a0p5_b10_M20_L4_p6_test.json,beta_a0p5_b10_M20_L6_c1_2_test.json,4,1,6.0,1000,50,0.91006,4,171.035,0,273.018
beta_a0p5_b10_M500_L4_p6_train.json,beta_a0p5_b10_M500_L6_c1_2_train.json,4,1,6.0,100,50,24.4006,116,4256.26,17,4017.65
beta_a0p5_b10_M500_L4_p6_test.json,beta_a0p5_b10_M500_L6_c1_2_test.json,4,1,6.0,1000,50,23.73442,116,4054.264,17,3937.738
beta_a0p5_b10_M50_L4_p6_train.json,beta_a0p5_b10_M50_L6_c1_2_train.json,4,1,6.0,100,50,2.3328,11,413.01,1,452.59
beta_a0p5_b10_M50_L4_p6_test.json,beta_a0p5_b10_M50_L6_c1_2_test.json,4,1,6.0,1000,50,2.35454,11,412.399,1,458.734
beta_a0p5_b1_M100_L4_p6_train.json,beta_a0p5_b1_M100_L6_c1_2_train.json,4,1,6.0,100,50,33.8352,182,4499.43,26,4561.81
