dataset,L,h,p,N,num_periods,mean_d,opt_capped_S,opt_capped_cap,avg_cost_capped
beta_a0p5_b0p5_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,49.9692,335,35,49.21982142857143
beta_a0p5_b0p5_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,101.882,645,75,97.54125
beta_a0p5_b0p5_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,10.2508,58,10,10.670892857142857
beta_a0p5_b0p5_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,247.6496,1497,170,241.7707142857143
beta_a0p5_b0p5_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,24.6224,142,15,25.14517857142857
beta_a0p5_b10_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,4.5358,14,5,6.684642857142857
beta_a0p5_b10_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,9.5332,36,5,13.159642857142858
beta_a0p5_b10_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,0.9048,2,5,1.4751785714285715
beta_a0p5_b10_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,24.4006,134,10,33.41535714285714
beta_a0p5_b10_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,2.3328,6,5,3.5742857142857143
beta_a0p5_b1_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,33.8352,170,20,39.72982142857143
beta_a0p5_b1_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,67.4418,392,40,77.06410714285714
beta_a0p5_b1_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,6.6232,38,5,7.724642857142857
beta_a0p5_b1_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,169.0286,1081,100,193.58910714285713
beta_a0p5_b1_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,16.7688,124,10,18.971607142857142
beta_a0p5_b2_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,20.091,118,10,25.5575
beta_a0p5_b2_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,40.3442,208,20,50.27892857142857
beta_a0p5_b2_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,4.0486,14,5,5.725357142857143
beta_a0p5_b2_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,98.1354,576,50,123.73535714285714
beta_a0p5_b2_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,10.2636,56,5,12.868392857142856
beta_a0p5_b5_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,8.8364,38,5,12.081428571428571
beta_a0p5_b5_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,18.2574,74,10,24.577857142857145
beta_a0p5_b5_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,1.812,4,5,2.8198214285714287
beta_a0p5_b5_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,45.5204,178,20,60.8475
beta_a0p5_b5_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,4.474,14,5,6.541607142857143
beta_a10_b0p5_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,95.1946,660,95,9.676607142857144
beta_a10_b0p5_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,190.532,1333,185,18.716607142857143
beta_a10_b0p5_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,19.1162,132,20,2.3475
beta_a10_b0p5_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,475.961,3345,465,47.97678571428571
beta_a10_b0p5_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,47.6254,335,45,5.735
beta_a10_b10_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,49.8922,345,45,14.801964285714286
beta_a10_b10_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,99.778,682,90,29.435535714285713
beta_a10_b10_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,9.9636,66,10,3.3210714285714285
beta_a10_b10_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,249.632,1733,225,73.10214285714285
beta_a10_b10_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,25.1338,168,25,7.789464285714286
beta_a10_b1_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,91.1946,626,90,12.384107142857143
beta_a10_b1_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,181.7454,1274,175,23.853571428571428
beta_a10_b1_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,18.1854,124,20,3.3680357142857145
beta_a10_b1_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,454.5368,3169,440,59.155
beta_a10_b1_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,45.3924,313,45,6.420178571428571
beta_a10_b2_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,83.1414,575,80,15.130892857142857
beta_a10_b2_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,166.24,1183,160,29.955535714285713
beta_a10_b2_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,16.6326,122,15,3.462142857142857
beta_a10_b2_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,416.0878,2886,395,72.57053571428571
beta_a10_b2_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,41.5494,288,40,7.4469642857142855
beta_a10_b5_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,66.5252,457,60,16.390714285714285
beta_a10_b5_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,132.9112,908,125,32.85178571428571
beta_a10_b5_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,13.273,88,15,4.215892857142857
beta_a10_b5_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,333.1118,2279,310,81.02875
beta_a10_b5_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,33.2158,232,30,8.59625
beta_a1_b0p5_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,67.1048,459,55,41.92375
beta_a1_b0p5_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,133.646,891,110,85.24642857142857
beta_a1_b0p5_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,13.3054,108,10,8.772321428571429
beta_a1_b0p5_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,333.5542,2304,275,210.5130357142857
beta_a1_b0p5_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,33.5724,218,30,21.231785714285714
beta_a1_b10_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,8.9642,48,5,9.538035714285714
beta_a1_b10_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,18.299,104,10,19.396785714285713
beta_a1_b10_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,1.7866,8,5,2.3373214285714288
beta_a1_b10_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,45.53,246,30,47.339464285714286
beta_a1_b10_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,4.5342,22,5,5.336785714285714
beta_a1_b1_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,49.6906,329,35,39.38232142857143
beta_a1_b1_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,99.712,665,75,77.23464285714286
beta_a1_b1_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,9.8064,58,10,8.4475
beta_a1_b1_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,250.3078,1614,190,193.50910714285715
beta_a1_b1_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,24.9084,162,20,20.43125
beta_a1_b2_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,33.2186,196,25,30.537142857142857
beta_a1_b2_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,65.8808,417,45,60.87392857142857
beta_a1_b2_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,6.7194,42,5,6.237678571428572
beta_a1_b2_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,165.5976,981,115,152.53696428571428
beta_a1_b2_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,16.7106,116,10,15.42607142857143
beta_a1_b5_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,16.8292,96,10,17.482678571428572
beta_a1_b5_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,33.4094,236,20,33.34375
beta_a1_b5_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,3.2892,14,5,3.962142857142857
beta_a1_b5_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,83.6384,547,55,83.8575
beta_a1_b5_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,8.298,54,5,8.508035714285715
beta_a2_b0p5_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,79.9318,567,70,30.8725
beta_a2_b0p5_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,160.9206,1092,145,62.45375
beta_a2_b0p5_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,16.0944,110,15,6.394285714285714
beta_a2_b0p5_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,399.9354,2743,360,161.12214285714285
beta_a2_b0p5_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,39.924,286,35,16.3
beta_a2_b10_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,16.5962,98,15,13.388392857142858
beta_a2_b10_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,33.6072,200,25,26.17910714285714
beta_a2_b10_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,3.3952,18,5,3.276607142857143
beta_a2_b10_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,82.7998,555,60,64.37589285714286
beta_a2_b10_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,8.2708,54,5,6.914821428571429
beta_a2_b1_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,66.6972,476,55,33.87446428571429
beta_a2_b1_M200_L6_c1_2_train.json,6,1.0,2.0,100,50,133.1292,909,115,65.93964285714286
beta_a2_b1_M20_L6_c1_2_train.json,6,1.0,2.0,100,50,13.3324,96,10,7.3444642857142854
beta_a2_b1_M500_L6_c1_2_train.json,6,1.0,2.0,100,50,333.1158,2315,290,162.33142857142857
beta_a2_b1_M50_L6_c1_2_train.json,6,1.0,2.0,100,50,33.3856,224,30,16.826964285714286
beta_a2_b2_M100_L6_c1_2_train.json,6,1.0,2.0,100,50,50.1284,332,40,30.240357142857142
