dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a0p5_b0p5_M100_L4_p4_train.json,beta_a0p5_b0p5_M100_L6_c1_2_train.json,4,1,4.0,100,50,49.9692,240,4585.33,38,4208.78
beta_a0p5_b0p5_M100_L4_p4_test.json,beta_a0p5_b0p5_M100_L6_c1_2_test.json,4,1,4.0,1000,50,50.13458,240,4550.258,38,4209.782
beta_a0p5_b0p5_M200_L4_p4_train.json,beta_a0p5_b0p5_M200_L6_c1_2_train.json,4,1,4.0,100,50,101.882,501,9021.07,79,8420.05
beta_a0p5_b0p5_M200_L4_p4_test.json,beta_a0p5_b0p5_M200_L6_c1_2_test.json,4,1,4.0,1000,50,100.02054,501,9094.931,79,8335.75
beta_a0p5_b0p5_M20_L4_p4_train.json,beta_a0p5_b0p5_M20_L6_c1_2_train.json,4,1,4.0,100,50,10.2508,51,936.93,8,820.51
beta_a0p5_b0p5_M20_L4_p4_test.json,beta_a0p5_b0p5_M20_L6_c1_2_test.json,4,1,4.0,1000,50,10.0193,51,916.752,8,840.919
beta_a0p5_b0p5_M500_L4_p4_train.json,beta_a0p5_b0p5_M500_L6_c1_2_train.json,4,1,4.0,100,50,247.6496,1178,22514.13,191,20632.53
beta_a0p5_b0p5_M500_L4_p4_test.json,beta_a0p5_b0p5_M500_L6_c1_2_test.json,4,1,4.0,1000,50,249.54696,1178,22517.99,191,20522.854
beta_a0p5_b0p5_M50_L4_p4_train.json,beta_a0p5_b0p5_M50_L6_c1_2_train.json,4,1,4.0,100,50,24.6224,120,2264.89,19,2125.88
beta_a0p5_b0p5_M50_L4_p4_test.json,beta_a0p5_b0p5_M50_L6_c1_2_test.json,4,1,4.0,1000,50,24.9965,120,2267.243,19,2080.633
beta_a0p5_b10_M100_L4_p4_train.json,beta_a0p5_b10_M100_L6_c1_2_train.json,4,1,4.0,100,50,4.5358,17,619.04,3,597.52
beta_a0p5_b10_M100_L4_p4_test.json,beta_a0p5_b10_M100_L6_c1_2_test.json,4,1,4.0,1000,50,4.69986,17,632.553,3,600.769
beta_a0p5_b10_M200_L4_p4_train.json,beta_a0p5_b10_M200_L6_c1_2_train.json,4,1,4.0,100,50,9.5332,35,1277.38,6,1198.22
beta_a0p5_b10_M200_L4_p4_test.json,beta_a0p5_b10_M200_L6_c1_2_test.json,4,1,4.0,1000,50,9.58786,35,1290.812,6,1220.795
beta_a0p5_b10_M20_L4_p4_train.json,beta_a0p5_b10_M20_L6_c1_2_train.json,4,1,4.0,100,50,0.9048,3,130.52,0,180.96
beta_a0p5_b10_M20_L4_p4_test.json,beta_a0p5_b10_M20_L6_c1_2_test.json,4,1,4.0,1000,50,0.91006,3,134.26,0,182.012
beta_a0p5_b10_M500_L4_p4_train.json,beta_a0p5_b10_M500_L6_c1_2_train.json,4,1,4.0,100,50,24.4006,90,3332.44,14,3097.46
beta_a0p5_b10_M500_L4_p4_test.json,beta_a0p5_b10_M500_L6_c1_2_test.json,4,1,4.0,1000,50,23.73442,90,3173.351,14,2985.079
beta_a0p5_b10_M50_L4_p4_train.json,beta_a0p5_b10_M50_L6_c1_2_train.json,4,1,4.0,100,50,2.3328,9,321.57,1,317.47
beta_a0p5_b10_M50_L4_p4_test.json,beta_a0p5_b10_M50_L6_c1_2_test.json,4,1,4.0,1000,50,2.35454,9,322.762,1,321.096
beta_a0p5_b1_M100_L4_p4_train.json,beta_a0p5_b1_M100_L6_c1_2_train.json,4,1,4.0,100,50,33.8352,155,3719.89,23,3580.36
beta_a0p5_b1_M100_L4_p4_test.json,beta_a0p5_b1_M100_L6_c1_2_test.json,4,1,4.0,1000,50,33.4564,155,3624.091,23,3372.283
beta_a0p5_b1_M200_L4_p4_train.json,beta_a0p5_b1_M200_L6_c1_2_train.json,4,1,4.0,100,50,67.4418,307,7285.96,49,6648.48
beta_a0p5_b1_M200_L4_p4_test.json,beta_a0p5_b1_M200_L6_c1_2_test.json,4,1,4.0,1000,50,66.72408,307,7244.675,49,6671.085
beta_a0p5_b1_M20_L4_p4_train.json,beta_a0p5_b1_M20_L6_c1_2_train.json,4,1,4.0,100,50,6.6232,31,713.45,5,656.75
beta_a0p5_b1_M20_L4_p4_test.json,beta_a0p5_b1_M20_L6_c1_2_test.json,4,1,4.0,1000,50,6.6822,31,724.349,5,668.98
beta_a0p5_b1_M500_L4_p4_train.json,beta_a0p5_b1_M500_L6_c1_2_train.json,4,1,4.0,100,50,169.0286,767,18110.6,118,16961.44
beta_a0p5_b1_M500_L4_p4_test.json,beta_a0p5_b1_M500_L6_c1_2_test.json,4,1,4.0,1000,50,167.46124,767,18127.353,118,16654.609
beta_a0p5_b1_M50_L4_p4_train.json,beta_a0p5_b1_M50_L6_c1_2_train.json,4,1,4.0,100,50,16.7688,77,1798.29,12,1638.67
beta_a0p5_b1_M50_L4_p4_test.json,beta_a0p5_b1_M50_L6_c1_2_test.json,4,1,4.0,1000,50,16.74092,77,1817.353,12,1670.819
beta_a0p5_b2_M100_L4_p4_train.json,beta_a0p5_b2_M100_L6_c1_2_train.json,4,1,4.0,100,50,20.091,84,2415.29,13,2292.98
beta_a0p5_b2_M100_L4_p4_test.json,beta_a0p5_b2_M100_L6_c1_2_test.json,4,1,4.0,1000,50,20.0118,84,2436.674,13,2260.164
beta_a0p5_b2_M200_L4_p4_train.json,beta_a0p5_b2_M200_L6_c1_2_train.json,4,1,4.0,100,50,40.3442,172,4929.69,27,4476.7
beta_a0p5_b2_M200_L4_p4_test.json,beta_a0p5_b2_M200_L6_c1_2_test.json,4,1,4.0,1000,50,40.04748,172,4848.07,27,4530.668
beta_a0p5_b2_M20_L4_p4_train.json,beta_a0p5_b2_M20_L6_c1_2_train.json,4,1,4.0,100,50,4.0486,17,501.87,3,471.78
beta_a0p5_b2_M20_L4_p4_test.json,beta_a0p5_b2_M20_L6_c1_2_test.json,4,1,4.0,1000,50,3.96788,17,490.544,3,478.821
beta_a0p5_b2_M500_L4_p4_train.json,beta_a0p5_b2_M500_L6_c1_2_train.json,4,1,4.0,100,50,98.1354,416,12202.21,65,11004.97
beta_a0p5_b2_M500_L4_p4_test.json,beta_a0p5_b2_M500_L6_c1_2_test.json,4,1,4.0,1000,50,100.58712,416,12181.857,65,11291.509
beta_a0p5_b2_M50_L4_p4_train.json,beta_a0p5_b2_M50_L6_c1_2_train.json,4,1,4.0,100,50,10.2636,44,1223.68,7,1138.81
