dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
beta_a0p5_b0p5_M100_L6_p4_train,4083.33,4084.88,4112.61
beta_a0p5_b0p5_M100_L6_p4_test,4062.621,4056.224,4082.89
beta_a0p5_b0p5_M200_L6_p4_train,8081.7,8077.05,8010.47
beta_a0p5_b0p5_M200_L6_p4_test,8135.346,8101.025,8098.057
beta_a0p5_b0p5_M20_L6_p4_train,805.43,804.26,808.22
beta_a0p5_b0p5_M20_L6_p4_test,824.101,813.805,831.779
beta_a0p5_b0p5_M500_L6_p4_train,20074.2,20092.3,20203.94
beta_a0p5_b0p5_M500_L6_p4_test,19989.762,20005.36,20067.387
beta_a0p5_b0p5_M50_L6_p4_train,2042.19,2041.57,2057.6
beta_a0p5_b0p5_M50_L6_p4_test,2009.302,2011.715,2023.917
beta_a0p5_b10_M100_L6_p4_train,573.9,574.38,580.17
beta_a0p5_b10_M100_L6_p4_test,592.196,591.328,593.05
beta_a0p5_b10_M200_L6_p4_train,1190.73,1190.67,1193.01
beta_a0p5_b10_M200_L6_p4_test,1205.452,1205.824,1207.757
beta_a0p5_b10_M20_L6_p4_train,124.46,122.56,127.68
beta_a0p5_b10_M20_L6_p4_test,129.613,127.844,131.47
beta_a0p5_b10_M500_L6_p4_train,3089.89,3089.61,3091.67
beta_a0p5_b10_M500_L6_p4_test,2976.092,2961.902,2974.161
beta_a0p5_b10_M50_L6_p4_train,298.8,299.5,303.65
beta_a0p5_b10_M50_L6_p4_test,303.462,303.117,308.418
beta_a0p5_b1_M100_L6_p4_train,3392.51,3396.41,3399.21
beta_a0p5_b1_M100_L6_p4_test,3279.93,3322.836,3290.739
beta_a0p5_b1_M200_L6_p4_train,6544.96,6540.27,6497.92
beta_a0p5_b1_M200_L6_p4_test,6551.95,6563.331,6540.796
beta_a0p5_b1_M20_L6_p4_train,640.08,639.76,642.93
beta_a0p5_b1_M20_L6_p4_test,658.145,656.46,659.588
beta_a0p5_b1_M500_L6_p4_train,16668.55,16583.62,16611.15
beta_a0p5_b1_M500_L6_p4_test,16334.026,16292.451,16345.097
beta_a0p5_b1_M50_L6_p4_train,1614.28,1615.31,1614.2
beta_a0p5_b1_M50_L6_p4_test,1639.253,1642.023,1652.401
beta_a0p5_b2_M100_L6_p4_train,2260.19,2262.11,2258.06
beta_a0p5_b2_M100_L6_p4_test,2228.126,2231.04,2233.292
beta_a0p5_b2_M200_L6_p4_train,4402.63,4400.21,4431.34
beta_a0p5_b2_M200_L6_p4_test,4467.156,4467.301,4490.804
beta_a0p5_b2_M20_L6_p4_train,455.58,457.22,457.89
beta_a0p5_b2_M20_L6_p4_test,451.667,452.036,452.413
beta_a0p5_b2_M500_L6_p4_train,10880.84,10834.71,10900.76
beta_a0p5_b2_M500_L6_p4_test,11196.72,11154.394,11184.483
beta_a0p5_b2_M50_L6_p4_train,1100.63,1101.45,1114.32
beta_a0p5_b2_M50_L6_p4_test,1138.205,1143.829,1137.318
beta_a0p5_b5_M100_L6_p4_train,1074.94,1073.57,1077.17
beta_a0p5_b5_M100_L6_p4_test,1111.362,1113.116,1116.187
beta_a0p5_b5_M200_L6_p4_train,2219.77,2220.62,2225.79
beta_a0p5_b5_M200_L6_p4_test,2199.368,2208.464,2206.689
beta_a0p5_b5_M20_L6_p4_train,227.04,227.94,228.57
beta_a0p5_b5_M20_L6_p4_test,227.7,229.157,228.247
beta_a0p5_b5_M500_L6_p4_train,5520.74,5524.04,5563.56
beta_a0p5_b5_M500_L6_p4_test,5491.852,5503.307,5524.969
beta_a0p5_b5_M50_L6_p4_train,548.43,548.35,551.7
beta_a0p5_b5_M50_L6_p4_test,553.333,554.117,555.653
beta_a10_b0p5_M100_L6_p4_train,878.63,795.5,717.83
beta_a10_b0p5_M100_L6_p4_test,875.556,781.907,708.995
beta_a10_b0p5_M200_L6_p4_train,1491.67,1506.42,1402.49
beta_a10_b0p5_M200_L6_p4_test,1521.65,1531.053,1410.173
beta_a10_b0p5_M20_L6_p4_train,145.94,157.64,147.18
beta_a10_b0p5_M20_L6_p4_test,146.327,160.835,147.318
beta_a10_b0p5_M500_L6_p4_train,4133.18,3872.76,3673.07
beta_a10_b0p5_M500_L6_p4_test,4151.086,3849.017,3566.566
beta_a10_b0p5_M50_L6_p4_train,369.59,371.18,375.76
beta_a10_b0p5_M50_L6_p4_test,369.285,373.718,374.439
beta_a10_b10_M100_L6_p4_train,1216.99,1213.91,1224.44
beta_a10_b10_M100_L6_p4_test,1220.273,1222.105,1211.712
beta_a10_b10_M200_L6_p4_train,2518.82,2474.04,2423.43
beta_a10_b10_M200_L6_p4_test,2536.097,2493.762,2446.882
beta_a10_b10_M20_L6_p4_train,252.75,254.45,257.68
beta_a10_b10_M20_L6_p4_test,246.796,248.711,249.168
beta_a10_b10_M500_L6_p4_train,6108.14,6128.08,6049.01
beta_a10_b10_M500_L6_p4_test,6139.999,6152.519,6105.123
beta_a10_b10_M50_L6_p4_train,597.69,598.74,596.36
beta_a10_b10_M50_L6_p4_test,617.285,616.194,604.429
beta_a10_b1_M100_L6_p4_train,982.37,956.8,1054.25
beta_a10_b1_M100_L6_p4_test,1045.208,998.479,1100.777
beta_a10_b1_M200_L6_p4_train,1942.85,1936.51,1972.28
beta_a10_b1_M200_L6_p4_test,1995.244,1978.349,2039.761
beta_a10_b1_M20_L6_p4_train,194.79,197.31,221.66
beta_a10_b1_M20_L6_p4_test,196.208,196.315,219.1
beta_a10_b1_M500_L6_p4_train,4871.23,4917.12,4691.91
beta_a10_b1_M500_L6_p4_test,5034.391,4968.995,4722.042
beta_a10_b1_M50_L6_p4_train,506.19,515.48,501.25
beta_a10_b1_M50_L6_p4_test,500.781,508.815,492.08
beta_a10_b2_M100_L6_p4_train,1271.92,1248.55,1199.5
beta_a10_b2_M100_L6_p4_test,1232.288,1222.145,1166.733
beta_a10_b2_M200_L6_p4_train,2459.79,2430.92,2445.63
beta_a10_b2_M200_L6_p4_test,2491.702,2457.355,2459.266
beta_a10_b2_M20_L6_p4_train,235.39,232.48,239.29
beta_a10_b2_M20_L6_p4_test,242.46,240.491,245.795
beta_a10_b2_M500_L6_p4_train,7486.32,6016.92,5800.95
