dataset,L,h,p,N,num_periods,mean_d,opt_capped_S,opt_capped_cap,avg_cost_capped
beta_a0p5_b0p5_M100_L2_c1_2_train.json,2,1.0,2.0,100,50,49.9692,156,40,2645.5
beta_a0p5_b0p5_M200_L2_c1_2_train.json,2,1.0,2.0,100,50,101.882,311,85,5229.91
beta_a0p5_b0p5_M20_L2_c1_2_train.json,2,1.0,2.0,100,50,10.2508,32,10,539.97
beta_a0p5_b0p5_M500_L2_c1_2_train.json,2,1.0,2.0,100,50,247.6496,790,190,13093.94
beta_a0p5_b0p5_M50_L2_c1_2_train.json,2,1.0,2.0,100,50,24.6224,74,20,1317.14
beta_a0p5_b10_M100_L2_c1_2_train.json,2,1.0,2.0,100,50,4.5358,8,5,357.74
beta_a0p5_b10_M200_L2_c1_2_train.json,2,1.0,2.0,100,50,9.5332,22,5,720.05
beta_a0p5_b10_M20_L2_c1_2_train.json,2,1.0,2.0,100,50,0.9048,2,5,79.92
beta_a0p5_b10_M500_L2_c1_2_train.json,2,1.0,2.0,100,50,24.4006,70,10,1870.38
beta_a0p5_b10_M50_L2_c1_2_train.json,2,1.0,2.0,100,50,2.3328,4,5,187.98
beta_a0p5_b1_M100_L2_c1_2_train.json,2,1.0,2.0,100,50,33.8352,90,25,2143.81
beta_a0p5_b1_M200_L2_c1_2_train.json,2,1.0,2.0,100,50,67.4418,194,50,4208.47
beta_a0p5_b1_M20_L2_c1_2_train.json,2,1.0,2.0,100,50,6.6232,18,5,416.11
beta_a0p5_b1_M500_L2_c1_2_train.json,2,1.0,2.0,100,50,169.0286,473,130,10542.42
beta_a0p5_b1_M50_L2_c1_2_train.json,2,1.0,2.0,100,50,16.7688,50,10,1050.37
beta_a0p5_b2_M100_L2_c1_2_train.json,2,1.0,2.0,100,50,20.091,52,10,1420.77
beta_a0p5_b2_M200_L2_c1_2_train.json,2,1.0,2.0,100,50,40.3442,104,25,2798.73
beta_a0p5_b2_M20_L2_c1_2_train.json,2,1.0,2.0,100,50,4.0486,8,5,294.88
beta_a0p5_b2_M500_L2_c1_2_train.json,2,1.0,2.0,100,50,98.1354,376,50,6923.43
