dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
exponential_100_L6_p10_train.json,exponential_100_L2_c1_2_train.json,6,1,10.0,100,50,99.4896,748,18463.91,84,16561.13
exponential_100_L6_p10_test.json,exponential_100_L2_c1_2_test.json,6,1,10.0,1000,50,99.61768,748,18734.883,84,17167.013
exponential_125_L6_p10_train.json,exponential_125_L2_c1_2_train.json,6,1,10.0,100,50,123.813,931,23547.8,105,21388.39
exponential_125_L6_p10_test.json,exponential_125_L2_c1_2_test.json,6,1,10.0,1000,50,124.453,931,23183.768,105,21541.774
exponential_150_L6_p10_train.json,exponential_150_L2_c1_2_train.json,6,1,10.0,100,50,147.1804,1105,27781.67,123,25853.18
exponential_150_L6_p10_test.json,exponential_150_L2_c1_2_test.json,6,1,10.0,1000,50,149.89432,1105,28591.96,123,26862.568
exponential_50_L6_p10_train.json,exponential_50_L2_c1_2_train.json,6,1,10.0,100,50,49.5956,382,9485.5,41,8959.02
exponential_50_L6_p10_test.json,exponential_50_L2_c1_2_test.json,6,1,10.0,1000,50,49.9208,382,9450.215,41,8707.26
exponential_75_L6_p10_train.json,exponential_75_L2_c1_2_train.json,6,1,10.0,100,50,74.6654,554,14078.39,62,13337.26
exponential_75_L6_p10_test.json,exponential_75_L2_c1_2_test.json,6,1,10.0,1000,50,74.9064,554,14289.885,62,13128.828
normal_std100_100_L6_p10_train.json,normal_std100_100_L2_c1_2_train.json,6,1,10.0,100,50,108.3768,850,17369.66,97,15677.17
normal_std100_100_L6_p10_test.json,normal_std100_100_L2_c1_2_test.json,6,1,10.0,1000,50,108.39924,850,17280.221,97,16163.414
normal_std100_125_L6_p10_train.json,normal_std100_125_L2_c1_2_train.json,6,1,10.0,100,50,129.954,1021,18858.55,116,17274.26
normal_std100_125_L6_p10_test.json,normal_std100_125_L2_c1_2_test.json,6,1,10.0,1000,50,130.0287,1021,18521.137,116,16753.961
normal_std100_150_L6_p10_train.json,normal_std100_150_L2_c1_2_train.json,6,1,10.0,100,50,153.8326,1193,19506.61,140,17639.66
normal_std100_150_L6_p10_test.json,normal_std100_150_L2_c1_2_test.json,6,1,10.0,1000,50,152.16472,1193,19634.438,140,17863.496
