policy_id,dataset_id,split,avg_cost,ci_lower,ci_upper,tune_status,tune_train_avg,tuned_params,error
exponential_L6_c1_2,beta_a0p125_b1p125_M500_L4_p10,train,15275.8,14424.704,16051.834499999999,ok_expanded,15275.8,"{""base_stock"": 6.178724828865259, ""safety_stock"": 425.54990012812954, ""pipeline_weight"": 1.7817974362806788, ""smoothing_factor"": 0.2754128551100537, ""lost_sales_weight"": 0.22941988770533042, ""demand_buffer"": 2.0059700651868877e-06, ""min_order_threshold"": 16.16003948576347}",
exponential_L6_c1_2,beta_a0p125_b1p125_M500_L4_p10,test,15799.444,15513.044125,16081.9141,ok_expanded,15275.8,"{""base_stock"": 6.178724828865259, ""safety_stock"": 425.54990012812954, ""pipeline_weight"": 1.7817974362806788, ""smoothing_factor"": 0.2754128551100537, ""lost_sales_weight"": 0.22941988770533042, ""demand_buffer"": 2.0059700651868877e-06, ""min_order_threshold"": 16.16003948576347}",
normal_std30_L6_c1_2,beta_a0p125_b1p125_M500_L4_p10,train,15257.23,14459.068000000001,16033.82425,ok_expanded,15257.23,"{""base_stock"": 427.9491617076519, ""safety_stock"": 48.914853892111346, ""pipeline_weight"": 1.5254099068818572, ""demand_forecast"": 0.24458691803371205, ""smoothing_factor"": 0.33975661757776815, ""forecast_weight"": 0.47853916149123105, ""adjustment_factor"": 0.2, ""pipeline_discount"": 0.9846053983399741, ""min_order"": 8.814001839702968}",
normal_std30_L6_c1_2,beta_a0p125_b1p125_M500_L4_p10,test,15772.904,15494.76335,16040.459574999999,ok_expanded,15257.23,"{""base_stock"": 427.9491617076519, ""safety_stock"": 48.914853892111346, ""pipeline_weight"": 1.5254099068818572, ""demand_forecast"": 0.24458691803371205, ""smoothing_factor"": 0.33975661757776815, ""forecast_weight"": 0.47853916149123105, ""adjustment_factor"": 0.2, ""pipeline_discount"": 0.9846053983399741, ""min_order"": 8.814001839702968}",
poisson_L6_c1_2,beta_a0p125_b1p125_M500_L4_p10,train,15474.16,14641.124249999999,16216.0015,ok_expanded,15474.16,"{""safety_stock"": 264.2661402005267, ""demand_estimate"": 33.236439885345426, ""max_order"": 40.654698023149486}",
poisson_L6_c1_2,beta_a0p125_b1p125_M500_L4_p10,test,16008.065,15732.831825,16291.218525,ok_expanded,15474.16,"{""safety_stock"": 264.2661402005267, ""demand_estimate"": 33.236439885345426, ""max_order"": 40.654698023149486}",
exponential_L6_c1_2,beta_a0p328125_b1p85938_M500_L4_p10,train,15645.22,14884.85675,16338.86175,ok_expanded,15645.22,"{""base_stock"": 464.003248772519, ""safety_stock"": 169.25000208781557, ""pipeline_weight"": 1.0, ""smoothing_factor"": 0.3327843865375202, ""lost_sales_weight"": 0.004206176210819793, ""demand_buffer"": 197.90602644114634, ""min_order_threshold"": 0.09564727462493082}",
exponential_L6_c1_2,beta_a0p328125_b1p85938_M500_L4_p10,test,16365.431,16098.9677,16602.325275,ok_expanded,15645.22,"{""base_stock"": 464.003248772519, ""safety_stock"": 169.25000208781557, ""pipeline_weight"": 1.0, ""smoothing_factor"": 0.3327843865375202, ""lost_sales_weight"": 0.004206176210819793, ""demand_buffer"": 197.90602644114634, ""min_order_threshold"": 0.09564727462493082}",
normal_std30_L6_c1_2,beta_a0p328125_b1p85938_M500_L4_p10,train,15694.58,14966.57575,16394.47275,ok_expanded,15694.58,"{""base_stock"": 343.03882044421266, ""safety_stock"": 142.16187294251802, ""pipeline_weight"": 1.0, ""demand_forecast"": 67.51372188132338, ""smoothing_factor"": 0.19665066398956488, ""forecast_weight"": 0.4897583371936103, ""adjustment_factor"": 0.2939624424481133, ""pipeline_discount"": 1.0, ""min_order"": 5.701252472117145}",
normal_std30_L6_c1_2,beta_a0p328125_b1p85938_M500_L4_p10,test,16415.257,16163.09865,16661.288399999998,ok_expanded,15694.58,"{""base_stock"": 343.03882044421266, ""safety_stock"": 142.16187294251802, ""pipeline_weight"": 1.0, ""demand_forecast"": 67.51372188132338, ""smoothing_factor"": 0.19665066398956488, ""forecast_weight"": 0.4897583371936103, ""adjustment_factor"": 0.2939624424481133, ""pipeline_discount"": 1.0, ""min_order"": 5.701252472117145}",
