dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a0p125_b1p125_M500_L6_p6_train.json,beta_a0p125_b1p125_M500_L6_c1_2_train.json,6,1,6.0,100,50,47.1538,183,11974.97,22,11324.53
beta_a0p125_b1p125_M500_L6_p6_test.json,beta_a0p125_b1p125_M500_L6_c1_2_test.json,6,1,6.0,1000,50,49.15512,183,12300.266,22,11789.225
beta_a0p328125_b1p85938_M500_L6_p6_train.json,beta_a0p328125_b1p85938_M500_L6_c1_2_train.json,6,1,6.0,100,50,71.0408,407,13699.52,47,12496.92
beta_a0p328125_b1p85938_M500_L6_p6_test.json,beta_a0p328125_b1p85938_M500_L6_c1_2_test.json,6,1,6.0,1000,50,75.3431,407,14374.13,47,13220.239
beta_a0p6_b2p4_M500_L6_p6_train.json,beta_a0p6_b2p4_M500_L6_c1_2_train.json,6,1,6.0,100,50,101.338,655,15522.69,77,13553.18
beta_a0p6_b2p4_M500_L6_p6_test.json,beta_a0p6_b2p4_M500_L6_c1_2_test.json,6,1,6.0,1000,50,99.35242,655,15419.476,77,13786.187
beta_a0p8_b7p2_M500_L6_p6_train.json,beta_a0p8_b7p2_M500_L6_c1_2_train.json,6,1,6.0,100,50,49.6336,310,7384.24,38,6445.8
beta_a0p8_b7p2_M500_L6_p6_test.json,beta_a0p8_b7p2_M500_L6_c1_2_test.json,6,1,6.0,1000,50,49.69722,310,7441.274,38,6531.166
beta_a0p921875_b2p76562_M500_L6_p6_train.json,beta_a0p921875_b2p76562_M500_L6_c1_2_train.json,6,1,6.0,100,50,126.2936,834,16002.61,105,13338.97
beta_a0p921875_b2p76562_M500_L6_p6_test.json,beta_a0p921875_b2p76562_M500_L6_c1_2_test.json,6,1,6.0,1000,50,126.25464,834,16340.483,105,13888.126
beta_a116p938_b350p812_M500_L6_p6_train.json,beta_a116p938_b350p812_M500_L6_c1_2_train.json,6,1,6.0,100,50,125.1094,874,4015.82,123,1465.37
beta_a116p938_b350p812_M500_L6_p6_test.json,beta_a116p938_b350p812_M500_L6_c1_2_test.json,6,1,6.0,1000,50,125.02062,874,4006.41,123,1436.679
beta_a11p8031_b66p8844_M500_L6_p6_train.json,beta_a11p8031_b66p8844_M500_L6_c1_2_train.json,6,1,6.0,100,50,75.1428,521,4287.23,70,2873.75
beta_a11p8031_b66p8844_M500_L6_p6_test.json,beta_a11p8031_b66p8844_M500_L6_c1_2_test.json,6,1,6.0,1000,50,74.92098,521,4309.796,70,2838.079
beta_a12p7708_b38p3125_M500_L6_p6_train.json,beta_a12p7708_b38p3125_M500_L6_c1_2_train.json,6,1,6.0,100,50,125.5454,871,6701.44,119,4213.98
beta_a12p7708_b38p3125_M500_L6_p6_test.json,beta_a12p7708_b38p3125_M500_L6_c1_2_test.json,6,1,6.0,1000,50,124.9988,871,6748.476,119,4239.203
beta_a157p2_b366p8_M500_L6_p6_train.json,beta_a157p2_b366p8_M500_L6_c1_2_train.json,6,1,6.0,100,50,149.9176,1048,4522.32,147,1461.0
beta_a157p2_b366p8_M500_L6_p6_test.json,beta_a157p2_b366p8_M500_L6_c1_2_test.json,6,1,6.0,1000,50,150.01718,1048,4542.604,147,1481.38
beta_a17p2_b40p1333_M500_L6_p6_train.json,beta_a17p2_b40p1333_M500_L6_c1_2_train.json,6,1,6.0,100,50,149.8122,1049,7240.52,143,4364.63
beta_a17p2_b40p1333_M500_L6_p6_test.json,beta_a17p2_b40p1333_M500_L6_c1_2_test.json,6,1,6.0,1000,50,149.94178,1049,7261.087,143,4319.52
beta_a19p8_b79p2_M500_L6_p6_train.json,beta_a19p8_b79p2_M500_L6_c1_2_train.json,6,1,6.0,100,50,100.0022,696,4898.1,95,2973.35
beta_a19p8_b79p2_M500_L6_p6_test.json,beta_a19p8_b79p2_M500_L6_c1_2_test.json,6,1,6.0,1000,50,100.0442,696,4835.991,95,2849.068
beta_a1p275_b2p975_M500_L6_p6_train.json,beta_a1p275_b2p975_M500_L6_c1_2_train.json,6,1,6.0,100,50,151.078,1023,17591.04,126,14541.96
beta_a1p275_b2p975_M500_L6_p6_test.json,beta_a1p275_b2p975_M500_L6_c1_2_test.json,6,1,6.0,1000,50,149.60594,1023,16894.142,126,14102.712
beta_a1p7625_b9p9875_M500_L6_p6_train.json,beta_a1p7625_b9p9875_M500_L6_c1_2_train.json,6,1,6.0,100,50,75.8172,504,8128.94,64,6696.26
beta_a1p7625_b9p9875_M500_L6_p6_test.json,beta_a1p7625_b9p9875_M500_L6_c1_2_test.json,6,1,6.0,1000,50,74.79722,504,8247.085,64,6893.062
beta_a22p4_b201p6_M500_L6_p6_train.json,beta_a22p4_b201p6_M500_L6_c1_2_train.json,6,1,6.0,100,50,50.1474,347,2481.52,48,1459.73
beta_a22p4_b201p6_M500_L6_p6_test.json,beta_a22p4_b201p6_M500_L6_c1_2_test.json,6,1,6.0,1000,50,50.02578,347,2422.268,48,1429.087
beta_a29p0469_b87p1406_M500_L6_p6_train.json,beta_a29p0469_b87p1406_M500_L6_c1_2_train.json,6,1,6.0,100,50,124.5836,871,5329.88,120,2786.32
beta_a29p0469_b87p1406_M500_L6_p6_test.json,beta_a29p0469_b87p1406_M500_L6_c1_2_test.json,6,1,6.0,1000,50,125.19174,871,5392.887,120,2876.601
beta_a2p4_b21p6_M500_L6_p6_train.json,beta_a2p4_b21p6_M500_L6_c1_2_train.json,6,1,6.0,100,50,49.7432,335,5154.4,43,4043.34
beta_a2p4_b21p6_M500_L6_p6_test.json,beta_a2p4_b21p6_M500_L6_c1_2_test.json,6,1,6.0,1000,50,49.96956,335,5032.632,43,4053.559
beta_a39p075_b91p175_M500_L6_p6_train.json,beta_a39p075_b91p175_M500_L6_c1_2_train.json,6,1,6.0,100,50,149.7412,1047,5876.21,145,2868.14
beta_a39p075_b91p175_M500_L6_p6_test.json,beta_a39p075_b91p175_M500_L6_c1_2_test.json,6,1,6.0,1000,50,150.09768,1047,5904.428,145,2862.085
beta_a3_b12_M500_L6_p6_train.json,beta_a3_b12_M500_L6_c1_2_train.json,6,1,6.0,100,50,100.1782,683,8966.19,88,7050.07
beta_a3_b12_M500_L6_p6_test.json,beta_a3_b12_M500_L6_c1_2_test.json,6,1,6.0,1000,50,99.96176,683,8956.886,88,7047.374
beta_a47p6625_b270p087_M500_L6_p6_train.json,beta_a47p6625_b270p087_M500_L6_c1_2_train.json,6,1,6.0,100,50,75.2648,525,2946.54,73,1391.63
beta_a47p6625_b270p087_M500_L6_p6_test.json,beta_a47p6625_b270p087_M500_L6_c1_2_test.json,6,1,6.0,1000,50,75.11256,525,2950.334,73,1435.635
beta_a4p4375_b13p3125_M500_L6_p6_train.json,beta_a4p4375_b13p3125_M500_L6_c1_2_train.json,6,1,6.0,100,50,125.1028,857,9478.73,114,6794.16
beta_a4p4375_b13p3125_M500_L6_p6_test.json,beta_a4p4375_b13p3125_M500_L6_c1_2_test.json,6,1,6.0,1000,50,125.48116,857,9478.645,114,7030.128
beta_a5p1625_b29p2542_M500_L6_p6_train.json,beta_a5p1625_b29p2542_M500_L6_c1_2_train.json,6,1,6.0,100,50,74.7118,516,5701.13,68,4242.53
beta_a5p1625_b29p2542_M500_L6_p6_test.json,beta_a5p1625_b29p2542_M500_L6_c1_2_test.json,6,1,6.0,1000,50,74.92302,516,5621.405,68,4148.712
beta_a5p525_b49p725_M500_L6_p6_train.json,beta_a5p525_b49p725_M500_L6_c1_2_train.json,6,1,6.0,100,50,50.3258,348,3872.36,45,2885.27
beta_a5p525_b49p725_M500_L6_p6_test.json,beta_a5p525_b49p725_M500_L6_c1_2_test.json,6,1,6.0,1000,50,49.98298,348,3760.598,45,2791.575
beta_a6_b14_M500_L6_p6_train.json,beta_a6_b14_M500_L6_c1_2_train.json,6,1,6.0,100,50,150.0294,1039,9859.65,139,6894.82
beta_a6_b14_M500_L6_p6_test.json,beta_a6_b14_M500_L6_c1_2_test.json,6,1,6.0,1000,50,150.24082,1039,10029.022,139,7122.383
beta_a79p8_b319p2_M500_L6_p6_train.json,beta_a79p8_b319p2_M500_L6_c1_2_train.json,6,1,6.0,100,50,100.1062,700,3473.5,98,1408.75
beta_a79p8_b319p2_M500_L6_p6_test.json,beta_a79p8_b319p2_M500_L6_c1_2_test.json,6,1,6.0,1000,50,99.96968,700,3478.694,98,1449.396
beta_a8p68889_b34p7556_M500_L6_p6_train.json,beta_a8p68889_b34p7556_M500_L6_c1_2_train.json,6,1,6.0,100,50,99.6358,690,6205.53,92,4233.8
beta_a8p68889_b34p7556_M500_L6_p6_test.json,beta_a8p68889_b34p7556_M500_L6_c1_2_test.json,6,1,6.0,1000,50,99.9929,690,6233.84,92,4294.782
binom_n1000000_p6_L6_p6_train.json,binom_n1000000_p0p0001_L6_c1_2_train.json,6,1,6.0,100,50,100.2514,700,3478.92,98,1432.94
binom_n1000000_p6_L6_p6_test.json,binom_n1000000_p0p0001_L6_c1_2_test.json,6,1,6.0,1000,50,99.9682,700,3476.166,98,1431.473
