dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
beta_a0p125_b1p125_M500_L6_p2_train,4591.21,4590.83,4591.33
beta_a0p125_b1p125_M500_L6_p2_test,4780.547,4781.593,4780.898
beta_a0p328125_b1p85938_M500_L6_p2_train,5847.95,5847.02,5848.51
beta_a0p328125_b1p85938_M500_L6_p2_test,6140.208,6141.863,6149.082
beta_a0p6_b2p4_M500_L6_p2_train,6724.2,6702.56,6731.86
beta_a0p6_b2p4_M500_L6_p2_test,6716.482,6707.597,6698.976
beta_a0p8_b7p2_M500_L6_p2_train,3156.54,3151.29,3159.52
beta_a0p8_b7p2_M500_L6_p2_test,3157.656,3162.845,3161.953
beta_a0p921875_b2p76562_M500_L6_p2_train,6846.72,6840.06,6849.52
beta_a0p921875_b2p76562_M500_L6_p2_test,6974.073,6981.415,6990.673
beta_a116p938_b350p812_M500_L6_p2_train,750.11,754.7,748.44
beta_a116p938_b350p812_M500_L6_p2_test,756.193,756.788,752.842
beta_a11p8031_b66p8844_M500_L6_p2_train,1463.68,1464.78,1451.09
beta_a11p8031_b66p8844_M500_L6_p2_test,1459.893,1456.495,1456.38
beta_a12p7708_b38p3125_M500_L6_p2_train,2196.05,2200.7,2207.99
beta_a12p7708_b38p3125_M500_L6_p2_test,2203.46,2203.345,2194.001
beta_a157p2_b366p8_M500_L6_p2_train,754.86,754.86,762.89
beta_a157p2_b366p8_M500_L6_p2_test,764.633,764.633,770.1
beta_a17p2_b40p1333_M500_L6_p2_train,2222.12,2221.53,2221.06
beta_a17p2_b40p1333_M500_L6_p2_test,2237.623,2241.161,2232.767
beta_a19p8_b79p2_M500_L6_p2_train,1509.03,1509.25,1529.64
beta_a19p8_b79p2_M500_L6_p2_test,1475.801,1473.128,1488.4
beta_a1p275_b2p975_M500_L6_p2_train,7363.21,7365.37,7364.37
beta_a1p275_b2p975_M500_L6_p2_test,7180.502,7191.157,7204.681
beta_a1p7625_b9p9875_M500_L6_p2_train,3380.84,3380.23,3375.41
beta_a1p7625_b9p9875_M500_L6_p2_test,3440.725,3429.953,3435.904
beta_a22p4_b201p6_M500_L6_p2_train,742.18,747.43,741.37
beta_a22p4_b201p6_M500_L6_p2_test,733.408,738.753,731.401
beta_a29p0469_b87p1406_M500_L6_p2_train,1535.02,1481.27,1472.3
beta_a29p0469_b87p1406_M500_L6_p2_test,1540.346,1493.461,1489.244
beta_a2p4_b21p6_M500_L6_p2_train,2092.54,2091.71,2092.18
beta_a2p4_b21p6_M500_L6_p2_test,2054.836,2056.148,2057.51
beta_a39p075_b91p175_M500_L6_p2_train,1489.11,1485.1,1517.42
beta_a39p075_b91p175_M500_L6_p2_test,1494.27,1488.068,1515.937
beta_a3_b12_M500_L6_p2_train,3591.57,3585.23,3566.59
beta_a3_b12_M500_L6_p2_test,3588.436,3584.863,3578.462
beta_a47p6625_b270p087_M500_L6_p2_train,727.4,725.8,732.69
beta_a47p6625_b270p087_M500_L6_p2_test,740.684,740.011,747.884
beta_a4p4375_b13p3125_M500_L6_p2_train,3573.9,3576.86,3574.09
beta_a4p4375_b13p3125_M500_L6_p2_test,3622.261,3625.665,3626.842
beta_a5p1625_b29p2542_M500_L6_p2_train,2170.68,2166.04,2174.62
beta_a5p1625_b29p2542_M500_L6_p2_test,2138.193,2142.461,2145.637
beta_a5p525_b49p725_M500_L6_p2_train,1475.11,1474.26,1480.1
beta_a5p525_b49p725_M500_L6_p2_test,1423.109,1425.215,1424.497
beta_a6_b14_M500_L6_p2_train,3613.38,3614.47,3627.57
beta_a6_b14_M500_L6_p2_test,3670.229,3672.276,3680.89
beta_a79p8_b319p2_M500_L6_p2_train,740.12,735.65,736.97
beta_a79p8_b319p2_M500_L6_p2_test,750.468,752.041,749.082
beta_a8p68889_b34p7556_M500_L6_p2_train,2172.08,2177.66,2176.89
beta_a8p68889_b34p7556_M500_L6_p2_test,2197.325,2198.579,2202.398
binom_n1000000_p0p0001_L6_p2_train,755.85,761.83,749.26
binom_n1000000_p0p0001_L6_p2_test,748.894,750.612,738.007
binom_n1250000_p0p0001_L6_p2_train,830.07,831.14,827.14
binom_n1250000_p0p0001_L6_p2_test,838.574,842.911,838.188
binom_n1500000_p0p0001_L6_p2_train,933.24,901.12,933.24
binom_n1500000_p0p0001_L6_p2_test,958.119,920.096,958.119
binom_n450_p0p333333_L6_p2_train,758.43,758.43,764.27
binom_n450_p0p333333_L6_p2_test,753.404,753.404,754.677
binom_n500000_p0p0001_L6_p2_train,540.9,527.93,533.44
binom_n500000_p0p0001_L6_p2_test,547.834,530.284,530.341
binom_n625_p0p2_L6_p2_train,757.11,757.01,764.51
binom_n625_p0p2_L6_p2_test,752.474,751.421,755.047
binom_n750000_p0p0001_L6_p2_train,634.13,633.38,636.68
binom_n750000_p0p0001_L6_p2_test,644.822,644.058,648.296
cunif_a0_b100_L6_p2_train,2183.43,2180.68,2192.69
cunif_a0_b100_L6_p2_test,2206.392,2204.75,2206.618
cunif_a0_b150_L6_p2_train,3297.95,3298.39,3307.71
cunif_a0_b150_L6_p2_test,3352.632,3352.749,3390.291
cunif_a0_b200_L6_p2_train,4407.3,4407.85,4438.88
cunif_a0_b200_L6_p2_test,4415.431,4415.958,4410.734
cunif_a0_b250_L6_p2_train,5445.09,5445.26,5431.92
cunif_a0_b250_L6_p2_test,5519.259,5518.466,5525.135
cunif_a0_b300_L6_p2_train,6655.46,6651.22,6652.84
cunif_a0_b300_L6_p2_test,6647.675,6636.373,6661.367
cunif_a107p679_b142p321_L6_p2_train,765.07,765.31,765.31
cunif_a107p679_b142p321_L6_p2_test,783.252,786.737,786.737
cunif_a115p359_b184p641_L6_p2_train,1558.99,1551.72,1693.79
cunif_a115p359_b184p641_L6_p2_test,1546.792,1544.632,1700.821
cunif_a132p679_b167p321_L6_p2_train,779.63,777.58,771.6
cunif_a132p679_b167p321_L6_p2_test,774.409,781.327,769.965
cunif_a13p3975_b186p603_L6_p2_train,3847.13,3835.72,3832.9
