LLM,problem,dist,demand_mean,n_train,external_opt,iter_opt,param_loc,repeat,n_pop,mode,data_summary,algo_performance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,1,train,yes,plain,1881.54,1932.30,1959.07,2151.82,2331.54,2482.29,2580.83,2581.71,2589.26,2630.33,2673.42,2705.12,2750.68,2750.75,2813.18,2835.97,2879.20,2907.49,2936.70,2941.37,2944.62,2950.38,2962.85,2992.19,3037.02,3042.63,3051.37,3125.42,3168.51,3170.94
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,1,test,yes,plain,4062.98,4490.39,4015.19,3895.80,4514.91,4406.33,4805.49,4828.28,4452.01,4808.35,4688.32,4650.80,4728.21,4639.38,4771.94,5095.24,4900.98,5042.63,5245.45,4601.78,4971.34,5385.16,4920.15,5185.73,5176.40,4907.75,5085.18,5034.76,5484.14,5524.57
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,2,train,yes,plain,1872.59,1881.54,1891.36,1919.00,1932.30,1943.14,1959.07,2054.73,2055.05,2151.82,2175.95,2201.98,2215.10,2268.22,2277.46,2277.99,2293.27,2331.54,2334.13,2349.75,2361.48,2368.51,2395.13,2445.10,2481.56,2482.29,2505.11,2522.87,2553.99,2580.83
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,2,test,yes,plain,4289.48,4062.98,4188.80,4224.43,4490.39,4039.30,4015.19,4257.98,4252.49,3895.80,4649.41,4646.11,4461.55,4254.20,4384.14,4311.88,4419.63,4514.91,4203.60,4666.69,4226.63,4562.16,4152.92,4318.41,4673.02,4406.33,4783.40,4504.91,4428.56,4805.49
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,3,train,yes,plain,1870.40,1872.59,1872.59,1872.59,1880.57,1881.54,1885.08,1885.25,1891.36,1903.75,1919.00,1924.77,1932.30,1932.67,1933.25,1943.14,1950.04,1959.07,1960.74,1967.50,2045.86,2054.73,2055.05,2094.01,2105.90,2109.74,2113.32,2121.76,2127.33,2129.11
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,3,test,yes,plain,3964.34,4410.09,4289.48,4163.95,4201.57,4062.98,3997.24,4075.94,4188.80,4044.65,4224.43,4011.42,4490.39,4165.45,4125.12,4039.30,4388.82,4015.19,4096.05,4190.75,4301.56,4257.98,4252.49,4495.48,3987.08,4455.64,4428.91,4225.24,4101.68,3907.52
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,4,train,yes,plain,1788.45,1810.96,1864.61,1864.97,1868.12,1869.01,1870.40,1870.58,1870.97,1871.28,1871.54,1871.67,1871.73,1872.59,1872.59,1872.59,1872.59,1872.59,1872.59,1872.59,1872.59,1872.59,1872.59,1872.65,1872.71,1877.14,1877.49,1878.10,1880.57,1881.54
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,4,test,yes,plain,3759.12,3767.81,3919.17,3899.84,3932.87,4068.68,3964.34,4007.09,3970.22,4009.58,4061.15,4024.47,4062.15,4410.09,4289.48,4457.02,4413.73,3990.07,4410.07,4163.95,4395.53,4033.56,4451.82,4370.28,4461.32,4098.09,3989.79,4036.89,4201.57,4062.98
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,5,train,yes,plain,1788.45,1800.45,1810.96,1852.45,1857.45,1864.61,1864.97,1867.42,1868.12,1868.16,1868.95,1869.01,1869.07,1869.38,1870.40,1870.55,1870.58,1870.97,1870.98,1871.28,1871.54,1871.67,1871.73,1872.33,1872.39,1872.59,1872.59,1872.59,1872.59,1872.59
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,5,test,yes,plain,3759.12,3771.38,3767.81,4007.72,3898.20,3919.17,3899.84,3989.02,3932.87,3919.69,4045.07,4068.68,3926.09,4075.93,3964.34,4013.80,4007.09,3970.22,4013.27,4009.58,4061.15,4024.47,4062.15,4029.32,4448.46,4346.90,4410.09,4289.48,4457.02,4011.13
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,6,train,yes,plain,1775.65,1788.45,1800.45,1801.04,1804.70,1804.79,1804.92,1805.24,1806.87,1810.96,1825.10,1839.51,1849.92,1852.45,1853.89,1857.45,1864.61,1864.97,1865.06,1866.25,1867.42,1868.12,1868.16,1868.95,1869.01,1869.07,1869.38,1869.77,1870.21,1870.21
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,6,test,yes,plain,3699.77,3759.12,3771.38,3745.69,3758.20,3766.73,3759.50,3770.01,3763.56,3767.81,3797.86,3792.62,3823.75,4007.72,3967.23,3898.20,3919.17,3899.84,4063.11,3972.61,3989.02,3932.87,3919.69,4045.07,4068.68,3926.09,4075.93,3971.97,4065.13,3945.74
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,7,train,yes,plain,1775.65,1778.40,1780.68,1787.21,1788.45,1789.31,1789.41,1789.68,1797.27,1800.45,1800.53,1801.04,1804.70,1804.79,1804.84,1804.92,1805.01,1805.24,1806.87,1810.96,1821.28,1825.10,1832.72,1839.51,1846.39,1849.92,1852.45,1853.89,1854.03,1855.64
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,7,test,yes,plain,3699.77,3745.23,3747.04,3747.08,3759.12,3787.20,3765.89,3791.59,3795.43,3771.38,3787.09,3745.69,3758.20,3766.73,3770.33,3759.50,3764.63,3770.01,3763.56,3767.81,3781.09,3797.86,3810.78,3792.62,3941.29,3823.75,4007.72,3967.23,3739.66,3965.96
deepseek-chat,inventory2,poisson1,80,100,scipy,30,default,1,8,train,yes,plain,1775.65,1776.04,1776.88,1777.95,1778.40,1780.68,1787.21,1788.36,1788.45,1788.67,1789.31,1789.41,1789.68,1789.89,1790.09,1791.64,1797.27,1800.45,1800.53,1801.04,1804.26,1804.31,1804.53,1804.54,1804.70,1804.70,1804.79,1804.84,1804.92,1805.01
