dataset,opt_basestock,opt_cost,
normal_std10_L2_c1_2_train,296,1398.98,27.9796
normal_std10_L2_c1_2_test,297,1435.13,28.7026
normal_std10_L2_c1_5_train,309,2366.86,47.3372
normal_std10_L2_c1_5_test,309,2343.33,46.8666
normal_std10_L4_c1_2_train,482,2474.36,49.4872
normal_std10_L4_c1_2_test,481,2473.06,49.4612
normal_std10_L4_c1_5_train,505,4109.86,82.1972
normal_std10_L4_c1_5_test,503,4082.72,81.6544
normal_std10_L6_c1_2_train,669,3833.82,76.6764
normal_std10_L6_c1_2_test,660,3888.24,77.7648
normal_std10_L6_c1_5_train,693,6206.48,124.1296
normal_std10_L6_c1_5_test,694,6172.29,123.4458
normal_std30_L2_c1_2_train,284,2921.06,58.4212
normal_std30_L2_c1_2_test,287,2831.16,56.6232
normal_std30_L2_c1_5_train,327,4537.06,90.7412
normal_std30_L2_c1_5_test,329,4533.68,90.6736
normal_std30_L4_c1_2_train,445,3824.68,76.4936
normal_std30_L4_c1_2_test,443,3853.76,77.0752
normal_std30_L4_c1_5_train,507,6278,125.56
normal_std30_L4_c1_5_test,506,6340.04,126.8008
normal_std30_L6_c1_2_train,594,5042.92,100.8584
normal_std30_L6_c1_2_test,588,5090.39,101.8078
normal_std30_L6_c1_5_train,691,8285.12,165.7024
normal_std30_L6_c1_5_test,690,8395.12,167.9024
poisson_L2_c1_2_train,296,1386.68,27.7336
poisson_L2_c1_2_test,295,1401.63,28.0326
poisson_L2_c1_5_train,308,2390.26,47.8052
poisson_L2_c1_5_test,308,2358.04,47.1608
poisson_L4_c1_2_train,481,2482.28,49.6456
poisson_L4_c1_2_test,483,2460.26,49.2052
poisson_L4_c1_5_train,499,4110.46,82.2092
poisson_L4_c1_5_test,502,4096.43,81.9286
poisson_L6_c1_2_train,664,3856.02,77.1204
poisson_L6_c1_2_test,665,3872,77.44
poisson_L6_c1_5_train,697,6171,123.42
poisson_L6_c1_5_test,694,6199.12,123.9824
exponential_L2_c1_2_train,210,6263.82,125.2764
exponential_L2_c1_2_test,207,6538.51,130.7702
exponential_L2_c1_5_train,329,11729.8,234.596
exponential_L2_c1_5_test,339,11128.87,222.5774
exponential_L4_c1_2_train,359,7381.94,147.6388
exponential_L4_c1_2_test,364,7403.41,148.0682
exponential_L4_c1_5_train,457,13387.52,267.7504
exponential_L4_c1_5_test,461,13282.56,265.6512
exponential_L6_c1_2_train,559,8681.08,173.6216
exponential_L6_c1_2_test,543,8592.41,171.8482
exponential_L6_c1_5_train,593,15234.84,304.6968
exponential_L6_c1_5_test,583,15141.39,302.8278
pareto_L2_c1_2_train,257,3246.08,64.9216
pareto_L2_c1_2_test,254,2993.88,59.8776
pareto_L2_c1_5_train,298,5941.96,118.8392
pareto_L2_c1_5_test,297,5565.66,111.3132
pareto_L4_c1_2_train,410,3823.68,76.4736
pareto_L4_c1_2_test,409,3928.65,78.573
pareto_L4_c1_5_train,475,7050.26,141.0052
pareto_L4_c1_5_test,467,7277.24,145.5448
pareto_L6_c1_2_train,559,5009.2,100.184
pareto_L6_c1_2_test,558,4906.2,98.124
pareto_L6_c1_5_train,633,8966.84,179.3368
pareto_L6_c1_5_test,633,8948.44,178.9688
