"LLM","problem","n_train","n_horizon","order_option","external_opt","iter_opt","param_loc","n_pop","mode","data_summary","algo_performance","demand_mean","dist","n_node","option","repeat_9","repeat_10","repeat_1","repeat_2","repeat_3","repeat_4","repeat_5","repeat_6","repeat_7","repeat_8"
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"train","plain","no",80,"normal0","","","","","19042.60","16662.60","19042.60","19042.60","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"test","plain","no",80,"normal0","","","","","19048.24","16668.24","19048.24","19048.24","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"train","plain","no",80,"normal0","","","","","15948.60","14282.60","16662.60","16662.60","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"test","plain","no",80,"normal0","","","","","15954.24","14288.34","16668.24","16668.24","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"train","plain","no",80,"normal0","","","","","11903.40","9540.56","14282.60","13092.64","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"test","plain","no",80,"normal0","","","","","11910.58","9552.17","14288.34","13098.68","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"train","plain","no",80,"normal0","","","","","11903.40","5275.68","9540.56","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"test","plain","no",80,"normal0","","","","","11910.58","5276.65","9552.17","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"train","plain","no",80,"normal0","","","","","11903.40","5275.68","6227.08","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"test","plain","no",80,"normal0","","","","","11910.58","5276.65","6234.41","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"train","plain","processed",80,"normal0","","","","","16662.60","16662.60","17852.60","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"test","plain","processed",80,"normal0","","","","","16668.24","16668.24","17858.24","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"train","plain","processed",80,"normal0","","","","","14282.60","14282.60","14282.60","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"test","plain","processed",80,"normal0","","","","","14288.34","14288.34","14288.34","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"train","plain","processed",80,"normal0","","","","","9540.56","14282.60","9540.56","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"test","plain","processed",80,"normal0","","","","","9552.17","14288.34","9552.17","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"train","plain","processed",80,"normal0","","","","","9540.56","14282.60","9540.56","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"test","plain","processed",80,"normal0","","","","","9552.17","14288.34","9552.17","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"train","plain","processed",80,"normal0","","","","","9540.56","14282.60","9540.56","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"test","plain","processed",80,"normal0","","","","","9552.17","14288.34","9552.17","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"train","plain","no",80,"leadtime2_0","","","","","26445.88","26445.88","25655.88","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"test","plain","no",80,"leadtime2_0","","","","","26446.38","26446.38","25656.39","","","","",""
