LLM,problem,dist,demand_mean,n_train,n_horizon,order_option,external_opt,iter_opt,param_loc,n_pop,mode,data_summary,algo_performance,repeat_1
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,1,train,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,1,test,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,2,train,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,2,test,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,3,train,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,3,test,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,4,train,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,4,test,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,5,train,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,5,test,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,6,train,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,6,test,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,7,train,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,7,test,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,8,train,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,8,test,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,9,train,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,9,test,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,10,train,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,10,test,no,no,
deepseek-chat,inventory_ex,normal0,80,50,3,order_before_sell,no,-,-,1,train,plain,no,1534.48
