LLM backbone,Iteration,Without optimizer mean (%),Without optimizer std. dev. (%),With optimizer mean (%),With optimizer std. dev. (%)
GPT-5 Nano,1,-50.38,56.14,15.82,16.56
GPT-5 Nano,2,-14.34,33.01,27.71,19.92
GPT-5 Nano,3,-2.08,17.12,33.79,21.57
GPT-5 Nano,4,0.34,16.7,37.21,21.06
GPT-5 Nano,5,3.05,16.85,38.42,21.0
GPT-5 Nano,6,5.69,18.57,39.9,21.16
GPT-5 Nano,7,7.52,18.84,40.82,21.21
GPT-5 Nano,8,8.47,18.92,41.54,20.61
GPT-5 Nano,9,9.37,19.46,41.86,20.63
GPT-5 Nano,10,10.09,20.26,41.89,20.62
GPT-5 Nano,11,10.5,20.45,,
GPT-5 Nano,12,10.82,20.44,,
GPT-5 Nano,13,11.56,21.38,,
GPT-5 Nano,14,12.1,21.58,,
GPT-5 Nano,15,12.2,21.57,,
GPT-5 Nano,16,13.2,21.68,,
GPT-5 Nano,17,13.75,21.95,,
GPT-5 Nano,18,15.27,23.63,,
GPT-5 Nano,19,15.75,23.54,,
GPT-5 Nano,20,15.88,23.58,,
Gemini 2.5 Lite,1,-25.54,39.97,2.78,5.06
Gemini 2.5 Lite,2,-14.3,31.87,5.98,9.92
Gemini 2.5 Lite,3,-8.24,27.57,8.53,12.7
Gemini 2.5 Lite,4,-5.31,21.71,11.23,14.88
Gemini 2.5 Lite,5,-4.76,21.51,14.06,18.0
Gemini 2.5 Lite,6,-4.71,21.52,16.41,18.13
Gemini 2.5 Lite,7,-3.39,17.51,19.42,18.29
Gemini 2.5 Lite,8,-2.22,12.96,20.73,19.32
Gemini 2.5 Lite,9,-1.72,11.9,22.54,19.91
Gemini 2.5 Lite,10,-1.37,11.44,23.08,20.12
Gemini 2.5 Lite,11,-0.97,11.22,,
Gemini 2.5 Lite,12,-0.97,11.22,,
Gemini 2.5 Lite,13,-0.75,10.17,,
Gemini 2.5 Lite,14,-0.7,10.17,,
Gemini 2.5 Lite,15,-0.52,9.38,,
Gemini 2.5 Lite,16,-0.52,9.38,,
Gemini 2.5 Lite,17,-0.5,9.38,,
Gemini 2.5 Lite,18,-0.5,9.38,,
Gemini 2.5 Lite,19,-0.49,9.38,,
Gemini 2.5 Lite,20,-0.49,9.38,,
Grok 4.1 Fast,1,-59.31,67.36,4.47,7.45
Grok 4.1 Fast,2,-37.92,48.46,10.59,11.74
Grok 4.1 Fast,3,-25.44,37.29,13.88,13.2
Grok 4.1 Fast,4,-15.1,27.22,16.62,13.58
Grok 4.1 Fast,5,-8.42,18.63,23.15,18.08
Grok 4.1 Fast,6,-4.71,13.39,27.27,18.64
Grok 4.1 Fast,7,-4.34,13.13,29.57,19.94
Grok 4.1 Fast,8,-3.7,12.44,31.32,20.56
Grok 4.1 Fast,9,-2.88,11.74,32.96,21.05
Grok 4.1 Fast,10,-2.7,11.74,33.52,21.22
Grok 4.1 Fast,11,-2.01,10.5,,
Grok 4.1 Fast,12,-1.63,9.95,,
Grok 4.1 Fast,13,-1.59,9.98,,
Grok 4.1 Fast,14,-1.59,9.98,,
Grok 4.1 Fast,15,-1.59,9.98,,
Grok 4.1 Fast,16,-1.59,9.98,,
Grok 4.1 Fast,17,-1.59,9.98,,
Grok 4.1 Fast,18,-1.59,9.98,,
Grok 4.1 Fast,19,-1.08,9.51,,
Grok 4.1 Fast,20,-0.54,8.72,,
GPT-5 Mini,1,-0.43,4.43,27.67,28.22
GPT-5 Mini,2,1.61,3.88,40.42,24.72
GPT-5 Mini,3,1.96,4.25,43.35,22.92
GPT-5 Mini,4,4.49,9.15,44.38,22.99
GPT-5 Mini,5,4.66,9.13,45.33,23.08
GPT-5 Mini,6,6.33,10.37,45.5,22.86
GPT-5 Mini,7,7.8,10.5,45.64,22.64
GPT-5 Mini,8,11.15,13.57,45.83,22.59
GPT-5 Mini,9,12.02,13.48,45.85,22.57
GPT-5 Mini,10,12.95,14.7,46.06,22.24
GPT-5 Mini,11,13.84,15.92,,
GPT-5 Mini,12,14.33,16.16,,
GPT-5 Mini,13,14.67,16.57,,
GPT-5 Mini,14,14.67,16.57,,
GPT-5 Mini,15,15.1,16.25,,
GPT-5 Mini,16,15.12,16.27,,
GPT-5 Mini,17,15.72,16.0,,
GPT-5 Mini,18,15.88,15.9,,
GPT-5 Mini,19,16.01,15.94,,
GPT-5 Mini,20,16.01,15.94,,
DeepSeek,1,-1.95,7.21,17.53,19.18
DeepSeek,2,-1.09,5.59,23.11,19.57
DeepSeek,3,0.21,4.82,25.37,19.63
DeepSeek,4,0.6,4.92,26.82,19.87
DeepSeek,5,0.74,4.71,28.06,20.09
DeepSeek,6,0.74,4.72,28.78,20.2
DeepSeek,7,0.85,5.11,29.12,20.28
DeepSeek,8,0.9,5.33,29.66,20.2
DeepSeek,9,0.9,5.33,29.83,20.25
DeepSeek,10,0.9,5.33,29.95,20.29
DeepSeek,11,0.91,5.38,,
DeepSeek,12,0.92,5.38,,
DeepSeek,13,0.92,5.38,,
DeepSeek,14,0.92,5.38,,
DeepSeek,15,0.92,5.38,,
DeepSeek,16,1.35,4.83,,
DeepSeek,17,1.38,4.81,,
DeepSeek,18,1.43,4.79,,
DeepSeek,19,1.43,4.79,,
DeepSeek,20,1.59,4.65,,
Gemini 3 Flash,1,20.13,24.78,44.67,24.51
Gemini 3 Flash,2,34.64,26.45,45.67,23.03
Gemini 3 Flash,3,37.62,27.03,45.77,22.9
Gemini 3 Flash,4,38.42,26.92,45.79,22.88
Gemini 3 Flash,5,38.7,26.87,45.8,22.87
Gemini 3 Flash,6,39.62,26.16,45.8,22.87
Gemini 3 Flash,7,40.28,25.86,46.12,22.32
Gemini 3 Flash,8,40.4,25.84,46.34,22.0
Gemini 3 Flash,9,40.58,25.84,46.34,22.0
Gemini 3 Flash,10,40.87,25.69,46.34,22.0
Gemini 3 Flash,11,41.25,25.35,,
Gemini 3 Flash,12,41.39,25.3,,
Gemini 3 Flash,13,41.74,24.84,,
Gemini 3 Flash,14,42.05,24.41,,
Gemini 3 Flash,15,42.07,24.39,,
Gemini 3 Flash,16,42.07,24.39,,
Gemini 3 Flash,17,42.07,24.39,,
Gemini 3 Flash,18,42.19,24.38,,
Gemini 3 Flash,19,42.19,24.38,,
Gemini 3 Flash,20,42.5,24.45,,
